Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
AZ-0001,AZ-0001-A,ABC15 Arizona in Phoenix (KNXV),,Phoenix,,AZ,https://www.abc15.com/,abc15.com,Indoor,Confirmed Indoor,No,1,https://www.abc15.com/ | https://www.abc15.com/weather/contact | https://www.abc15.com/about-us/contests | https://www.abc15.com/news/investigators/contact | https://www.abc15.com/contact-let-abc15-know | https://www.abc15.com/sonoranliving/contact | https://www.abc15.com/about/contact-us
AZ-0002,AZ-0002-A,Aces volleyball club,16083 North 75th Avenue,Peoria,,AZ,https://azacesvolleyball.com/,azacesvolleyball.com,Indoor,Confirmed Indoor,No,1,https://azacesvolleyball.com/ | https://azacesvolleyball.com/reg | https://azacesvolleyball.com/staff | https://azacesvolleyball.com/contact-us
AZ-0003,AZ-0003-A,Ak-Chin Recreation Center,46753 W Farrell Rd,Maricopa,85139,AZ,https://ak-chin-recreation.edan.io/,ak-chin-recreation.edan.io,Indoor,Confirmed Indoor,No,1,https://ak-chin-recreation.edan.io/
AZ-0004,AZ-0004-A,ALLSPORTSTUCSON.com | Southern Arizona Sports Coverage,,Tucson,,AZ,https://allsportstucson.com/,allsportstucson.com,Indoor,Confirmed Indoor,No,1,https://allsportstucson.com/ | https://allsportstucson.com/about | https://allsportstucson.com/about/advertise-with-us | https://allsportstucson.com/about/our-sponsors | https://allsportstucson.com/about/sports-writers | https://allsportstucson.com/about/sports-writers/andy-morales | https://allsportstucson.com/about/sports-writers/javier-morales
AZ-0005,AZ-0005-A,American Platform Tennis Association,,,,AZ,https://old.platformtennis.org/site3.aspx,platformtennis.org,Indoor,Confirmed Indoor,No,1,https://old.platformtennis.org/site3.aspx | https://old.platformtennis.org/Page2627.aspx | https://old.platformtennis.org/Page101.aspx | https://old.platformtennis.org/Page160.aspx | https://old.platformtennis.org/Page341.aspx | https://old.platformtennis.org/Page98.aspx | https://old.platformtennis.org/Page1064.aspx
AZ-0006,AZ-0006-A,Anderson Auto Group Fieldhouse,,,,AZ,https://www.andersonautogroupfieldhouse.com/,andersonautogroupfieldhouse.com,Indoor,Confirmed Indoor,No,1,https://www.andersonautogroupfieldhouse.com/ | https://www.andersonautogroupfieldhouse.com/o/aagf/page/about-venue | https://www.andersonautogroupfieldhouse.com/o/aagf/page/field-rental | https://www.andersonautogroupfieldhouse.com/o/aagf/page/meeting-room-rental | https://www.andersonautogroupfieldhouse.com/staff
AZ-0007,AZ-0007-A,Apache Junction Youth Sports,,Apache Junction,,AZ,https://ajyouthsports.com/,azyouthsports.com,Indoor,Confirmed Indoor,No,1,https://ajyouthsports.com/ | https://ajyouthsports.com/contact-us/ | https://ajyouthsports.com/spring-season/
AZ-0008,AZ-0008-A,Arizona Country Club,,Phoenix,,AZ,https://www.azcountryclub.com/,arizonacc.com,Indoor,Confirmed Indoor,No,1,https://www.azcountryclub.com/ | https://www.azcountryclub.com/About_Us | https://www.azcountryclub.com/About_Us/Club_Tour
AZ-0009,AZ-0009-A,Arizona Golf,,Tucson,,AZ,https://arizonagolfer.com/,arizonagolfer.com,Indoor,Confirmed Indoor,No,1,https://arizonagolfer.com/ | https://www.arizonagolfer.com/golfcourses/ | https://www.arizonagolfer.com/golfcourses/golfresorts.cfm | https://www.arizonagolfer.com/facilities/ | https://www.arizonagolfer.com/golfmemberships/ | https://www.arizonagolfer.com/contact/ | https://www.arizonagolfer.com/about/
AZ-0010,AZ-0010-A,Arizona Soccer Skills Academy,,Gilbert,,AZ,https://azsoccerskills.com/,azsoccerskills.com,Indoor,Confirmed Indoor,No,1,https://azsoccerskills.com/ | https://azsoccerskills.com/about-us/ | https://azsoccerskills.com/join-our-team/ | https://azsoccerskills.com/category/youth-soccer-player-development/
AZ-0011,AZ-0011-A,ATOMIC Volleyball Club,7214 W Campo Bello Dr,Glendale,85308,AZ,https://www.atomicvolleyball.com/,atomicvolleyball.com,Indoor,Confirmed Indoor,Yes,7,https://www.atomicvolleyball.com/ | https://www.atomicvolleyball.com/aboutus | https://www.atomicvolleyball.com/programs | https://www.atomicvolleyball.com/our-teams | https://www.atomicvolleyball.com/facilities
AZ-0011,AZ-0011-B,ATOMIC Volleyball Club,16165 N 83rd Avenue,Peoria,85382,AZ,https://www.atomicvolleyball.com/,atomicvolleyball.com,Indoor,Confirmed Indoor,Yes,7,https://www.atomicvolleyball.com/ | https://www.atomicvolleyball.com/aboutus | https://www.atomicvolleyball.com/programs | https://www.atomicvolleyball.com/our-teams | https://www.atomicvolleyball.com/facilities
AZ-0011,AZ-0011-C,ATOMIC Volleyball Club,19000 N 63rd Ave,Glendale,85308,AZ,https://www.atomicvolleyball.com/,atomicvolleyball.com,Indoor,Confirmed Indoor,Yes,7,https://www.atomicvolleyball.com/ | https://www.atomicvolleyball.com/aboutus | https://www.atomicvolleyball.com/programs | https://www.atomicvolleyball.com/our-teams | https://www.atomicvolleyball.com/facilities
AZ-0011,AZ-0011-D,ATOMIC Volleyball Club,22833 N 71st Ave,Glendale,85310,AZ,https://www.atomicvolleyball.com/,atomicvolleyball.com,Indoor,Confirmed Indoor,Yes,7,https://www.atomicvolleyball.com/ | https://www.atomicvolleyball.com/aboutus | https://www.atomicvolleyball.com/programs | https://www.atomicvolleyball.com/our-teams | https://www.atomicvolleyball.com/facilities
AZ-0011,AZ-0011-E,ATOMIC Volleyball Club,7241 W Rose Garden Ln,Glendale,85308,AZ,https://www.atomicvolleyball.com/,atomicvolleyball.com,Indoor,Confirmed Indoor,Yes,7,https://www.atomicvolleyball.com/ | https://www.atomicvolleyball.com/aboutus | https://www.atomicvolleyball.com/programs | https://www.atomicvolleyball.com/our-teams | https://www.atomicvolleyball.com/facilities
AZ-0011,AZ-0011-F,ATOMIC Volleyball Club,14711 N 59th Ave,Glendale,85306,AZ,https://www.atomicvolleyball.com/,atomicvolleyball.com,Indoor,Confirmed Indoor,Yes,7,https://www.atomicvolleyball.com/ | https://www.atomicvolleyball.com/aboutus | https://www.atomicvolleyball.com/programs | https://www.atomicvolleyball.com/our-teams | https://www.atomicvolleyball.com/facilities
AZ-0011,AZ-0011-G,ATOMIC Volleyball Club,7188 W Campo Bello Dr,Glendale,85308,AZ,https://www.atomicvolleyball.com/,atomicvolleyball.com,Indoor,Confirmed Indoor,Yes,7,https://www.atomicvolleyball.com/ | https://www.atomicvolleyball.com/aboutus | https://www.atomicvolleyball.com/programs | https://www.atomicvolleyball.com/our-teams | https://www.atomicvolleyball.com/facilities
