Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
CA-0001,CA-0001-A,310volleyball,3400 Manhattan Beach Blvd.,Torrance,90249,CA,https://www.310volleyball.org/,310volleyball.org,Indoor,Confirmed Indoor,Yes,2,https://www.310volleyball.org/ | https://www.310volleyball.org/general/whole-athlete-program | https://www.310volleyball.org/general/facility | https://www.310volleyball.org/programs/summer | https://www.310volleyball.org/programs/fall | https://www.310volleyball.org/programs/spring | https://www.310volleyball.org/programs/adult
CA-0001,CA-0001-B,310volleyball,1111 Figueroa Pl,Wilmington,90744,CA,https://www.310volleyball.org/,310volleyball.org,Indoor,Confirmed Indoor,Yes,2,https://www.310volleyball.org/ | https://www.310volleyball.org/general/whole-athlete-program | https://www.310volleyball.org/general/facility | https://www.310volleyball.org/programs/summer | https://www.310volleyball.org/programs/fall | https://www.310volleyball.org/programs/spring | https://www.310volleyball.org/programs/adult
CA-0002,CA-0002-A,5 vs. 5 Indoor Turf Tournament - shastabiz.com,,,,CA,https://shastabiz.com/,shastabiz.com,Indoor,Confirmed Indoor,No,1,https://shastabiz.com/ | https://shastabiz.com/business-directory | https://shastabiz.com/about_us | https://shastabiz.com/best-local-business-directory | https://shastabiz.com/contacts/new
CA-0003,CA-0003-A,A4 Volleyball Club,,San Diego,,CA,https://a4volley.com/,a4volley.com,Indoor,Confirmed Indoor,No,1,https://a4volley.com/ | https://a4volley.com/programs/ | https://a4volley.com/facility/ | https://a4volley.com/find-a-class/ | https://a4volley.com/programs/boys-club-tryouts/ | https://a4volley.com/contact/ | https://a4volley.com/programs/youth-league/
CA-0004,CA-0004-A,Academy Volleyball,,,,CA,https://www.academyvolleyball.com/,academyvolleyclub.com,Indoor,Confirmed Indoor,No,1,https://www.academyvolleyball.com/ | https://www.academyvolleyball.com/about/ | https://www.academyvolleyball.com/about/why-join-academy/ | https://www.academyvolleyball.com/about/starthere/ | https://www.academyvolleyball.com/about/staff/ | https://www.academyvolleyball.com/about/employment/ | https://www.academyvolleyball.com/contact/
CA-0005,CA-0005-A,Acrisure Arena,,,,CA,https://acrisurearena.com/,insider.acrisurearena.com,Indoor,Confirmed Indoor,No,1,https://acrisurearena.com/ | https://acrisurearena.com/supplier-diversity-program/ | https://acrisurearena.com/coachella-valley-lakers-season-ticket-memberships-on-sale-now/
CA-0006,CA-0006-A,"Adult Volleyball Leagues in Los Angeles, CA - LASportsNet",,Los Angeles,,CA,https://www.lasportsnet.com/,lasportsnet.com,Indoor,Confirmed Indoor,No,1,https://www.lasportsnet.com/
CA-0007,CA-0007-A,Advantage Tennis Clubs,,,,CA,https://advantagetennisclubs.com/,advantagetennisclubs.com,Indoor,Confirmed Indoor,No,1,https://advantagetennisclubs.com/ | https://advantagetennisclubs.com/adult-programs-overview | https://advantagetennisclubs.com/adult-programs | https://advantagetennisclubs.com/junior-programs-overview | https://advantagetennisclubs.com/junior-programs | https://advantagetennisclubs.com/camps-overview
CA-0008,CA-0008-A,Affordable Gyms & Fitness Centers,,,,CA,https://vnvfit.com/,vnvfit.com,Indoor,Confirmed Indoor,No,1,https://vnvfit.com/ | https://vnvfit.com/about/privacy-policy | https://vnvfit.com/about/insurance | https://vnvfit.com/about | https://vnvfit.com/about/careers | https://vnvfit.com/about/companywellness | https://vnvfit.com/about/educator-discount
CA-0009,CA-0009-A,Allen & Sons TTC,,Canoga Park,,CA,https://mypingpongclub.com/,mypingpongclub.com,Indoor,Confirmed Indoor,No,1,https://mypingpongclub.com/ | https://mypingpongclub.com/about/ | https://mypingpongclub.com/contact/
