Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
FL-0001,FL-0001-A,2Legit Volleyball,11201 SW 24th Street,Miami,,FL,https://2legitvolleyball.com/,2legitvolleyball.com,Indoor,Confirmed Indoor,No,1,https://2legitvolleyball.com/ | https://2legitvolleyball.com/contact-us | https://2legitvolleyball.com/explore/indoor-programs | https://2legitvolleyball.com/explore/pricing-register
FL-0002,FL-0002-A,305 Sports,780 NW 127 Ave,Miami,33182,FL,https://www.305youthsports.com/,305youthsports.com,Indoor,Confirmed Indoor,Yes,9,https://www.305youthsports.com/ | https://www.305youthsports.com/about-us/ | https://www.305youthsports.com/programs/ | https://www.305youthsports.com/contact/
FL-0002,FL-0002-B,305 Sports,14445 SW 122 Ave,Miami,33186,FL,https://www.305youthsports.com/,305youthsports.com,Indoor,Confirmed Indoor,Yes,9,https://www.305youthsports.com/ | https://www.305youthsports.com/about-us/ | https://www.305youthsports.com/programs/ | https://www.305youthsports.com/contact/
FL-0002,FL-0002-C,305 Sports,14168 SW 139 Ct,Miami,33186,FL,https://www.305youthsports.com/,305youthsports.com,Indoor,Confirmed Indoor,Yes,9,https://www.305youthsports.com/ | https://www.305youthsports.com/about-us/ | https://www.305youthsports.com/programs/ | https://www.305youthsports.com/contact/
FL-0002,FL-0002-D,305 Sports,6411 NW 162 St,Miami Lakes,33014,FL,https://www.305youthsports.com/,305youthsports.com,Indoor,Confirmed Indoor,Yes,9,https://www.305youthsports.com/ | https://www.305youthsports.com/about-us/ | https://www.305youthsports.com/programs/ | https://www.305youthsports.com/contact/
FL-0002,FL-0002-E,305 Sports,14365 SW 48 Ln,Miami,33175,FL,https://www.305youthsports.com/,305youthsports.com,Indoor,Confirmed Indoor,Yes,9,https://www.305youthsports.com/ | https://www.305youthsports.com/about-us/ | https://www.305youthsports.com/programs/ | https://www.305youthsports.com/contact/
FL-0002,FL-0002-F,305 Sports,500 Nw 122 Ave,Miami,33182,FL,https://www.305youthsports.com/,305youthsports.com,Indoor,Confirmed Indoor,Yes,9,https://www.305youthsports.com/ | https://www.305youthsports.com/about-us/ | https://www.305youthsports.com/programs/ | https://www.305youthsports.com/contact/
FL-0002,FL-0002-G,305 Sports,780 NW 127th Ave,Miami,33182,FL,https://www.305youthsports.com/,305youthsports.com,Indoor,Confirmed Indoor,Yes,9,https://www.305youthsports.com/ | https://www.305youthsports.com/about-us/ | https://www.305youthsports.com/programs/ | https://www.305youthsports.com/contact/
FL-0002,FL-0002-H,305 Sports,14365 SW 48th Ln,Miami,33175,FL,https://www.305youthsports.com/,305youthsports.com,Indoor,Confirmed Indoor,Yes,9,https://www.305youthsports.com/ | https://www.305youthsports.com/about-us/ | https://www.305youthsports.com/programs/ | https://www.305youthsports.com/contact/
FL-0002,FL-0002-I,305 Sports,14445 SW 122th Ave,Miami,33186,FL,https://www.305youthsports.com/,305youthsports.com,Indoor,Confirmed Indoor,Yes,9,https://www.305youthsports.com/ | https://www.305youthsports.com/about-us/ | https://www.305youthsports.com/programs/ | https://www.305youthsports.com/contact/
FL-0003,FL-0003-A,3STEP Sports,,Deerfield Beach,,FL,https://threestep.com/,threestep.com,Indoor,Confirmed Indoor,No,1,https://threestep.com/ | https://threestep.com/facilities/ | https://threestep.com/about-us/ | https://threestep.com/playerfirst/
