Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
GA-0001,GA-0001-A,11Alive.com,,Atlanta,,GA,https://www.11alive.com/,11alive.com,Indoor,Confirmed Indoor,No,1,https://www.11alive.com/ | https://www.11alive.com/about-us | https://www.11alive.com/contact-us | https://www.11alive.com/meet-the-team
GA-0002,GA-0002-A,247est,,Lithonia,,GA,https://www.247est.com/,247est.com,Indoor,Confirmed Indoor,No,1,https://www.247est.com/ | https://www.247est.com/staff | https://www.247est.com/about | https://www.247est.com/contact | https://www.247est.com/booking-calendar/call-404-580-2115-rent-the-full-court | https://www.247est.com/booking-calendar/call-404-580-2115-rent-the-half-court
GA-0003,GA-0003-A,912 Volleyball Academy,,Statesboro,,GA,https://www.912volleyball.com/,912volleyball.com,Indoor,Confirmed Indoor,No,1,https://www.912volleyball.com/ | https://www.912volleyball.com/912-leadership | https://www.912volleyball.com/programs | https://www.912volleyball.com/our-facility
GA-0004,GA-0004-A,"A&H Heating and Air Conditioning, Inc. | 770-335-7832",,Stockbridge,,GA,https://www.ahheatingair.com/,ahheatingair.com,Indoor,Confirmed Indoor,No,1,https://www.ahheatingair.com/ | https://www.ahheatingair.com/contact-us
GA-0005,GA-0005-A,Ace Pickleball Club,,Atlanta,,GA,https://www.acepickleballclub.com/,acepickleballclub.com,Indoor,Confirmed Indoor,No,1,https://www.acepickleballclub.com/ | https://www.acepickleballclub.com/championships | https://www.acepickleballclub.com/contact
GA-0006,GA-0006-A,Adventure Air Sports,,Alpharetta,,GA,https://adventureairsports.com/,adventureairsports.com,Indoor,Confirmed Indoor,No,1,https://adventureairsports.com/ | https://adventureairsports.com/memberships/ | https://adventureairsports.com/contact/ | https://adventureairsports.com/join-our-team/ | https://adventureairsports.com/parties-events/
GA-0007,GA-0007-A,AFC Lightning |Peachtree City & Fayetteville GA Soccer,,Peachtree City,,GA,https://www.afclightning.org/,afclightning.org,Indoor,Confirmed Indoor,No,1,https://www.afclightning.org/ | https://www.afclightning.org/about-afc-lightning | https://www.afclightning.org/full-time-staff | https://www.afclightning.org/lakewood-program | https://www.afclightning.org/contact-us
GA-0008,GA-0008-A,American Platform Tennis Association,,,,GA,https://old.platformtennis.org/site3.aspx,platformtennis.org,Indoor,Confirmed Indoor,No,1,https://old.platformtennis.org/site3.aspx | https://old.platformtennis.org/Page2627.aspx | https://old.platformtennis.org/Page101.aspx | https://old.platformtennis.org/Page160.aspx | https://old.platformtennis.org/Page341.aspx | https://old.platformtennis.org/Page98.aspx | https://old.platformtennis.org/Page1064.aspx
GA-0009,GA-0009-A,AthensTennis.com,,Athens,,GA,https://www.athenstennis.com/,athenstennis.com,Indoor,Confirmed Indoor,No,1,https://www.athenstennis.com/ | https://www.athenstennis.com/court-equipment/ | https://www.athenstennis.com/local-courts-stringing/ | https://www.athenstennis.com/about-me-contact/
GA-0010,GA-0010-A,Atlanta,,Atlanta,,GA,https://atlanta.padel.haus/,atlanta.padel.haus,Indoor,Confirmed Indoor,No,1,https://atlanta.padel.haus/
GA-0011,GA-0011-A,Atlanta Extreme Volleyball Club,,Suwanee,,GA,https://aevc.org/,aevc.org,Indoor,Confirmed Indoor,No,1,https://aevc.org/ | https://aevc.org/club/aboutaevc | https://aevc.org/club/facility | https://aevc.org/club/rentals | https://aevc.org/club/staff | https://aevc.org/club/teamlevels | https://aevc.org/club/contact
GA-0012,GA-0012-A,"Atlanta Hand Specialist | Hand Doctors Atlanta, GA",,Marietta,,GA,https://atlantahandspecialist.com/,atlantahandspecialist.com,Indoor,Confirmed Indoor,No,1,https://atlantahandspecialist.com/ | https://atlantahandspecialist.com/contact-us-directions/ | https://atlantahandspecialist.com/contact-us-directions/visit-atlanta-hand-specialist-in-smyrna-ga/ | https://atlantahandspecialist.com/contact-us-directions/hand-specialist-in-douglasville/ | https://atlantahandspecialist.com/contact-us-directions/atlanta-hand-specialist-in-east-cobb/ | https://atlantahandspecialist.com/contact-us-directions/atlanta-hand-specialist-in-lawrenceville-ga/ | https://atlantahandspecialist.com/contact-us-directions/johns-creek-georgia/
GA-0013,GA-0013-A,Atlanta International Table Tennis Academy,7230 McGinnis Ferry Rd,Suwanee,30024,GA,https://yangtabletennis.com/,yangtabletennis.com,Indoor,Confirmed Indoor,No,1,https://yangtabletennis.com/ | https://yangtabletennis.com/about-us/ | https://yangtabletennis.com/facilities/ | https://yangtabletennis.com/contact-us/ | https://yangtabletennis.com/membership/ | https://yangtabletennis.com/contact-us-2/
GA-0014,GA-0014-A,Atlanta Storm Beach Volleyball,3715 Lavista Rd,Decatur,30033,GA,https://www.atlstormbeachvb.com/,atlstormbeachvb.com,Indoor,Confirmed Indoor,No,1,https://www.atlstormbeachvb.com/ | https://www.atlstormbeachvb.com/about
