Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
IL-0001,IL-0001-A,1470 & 100.3 WMBD,,Peoria,,IL,https://wmbdradio.com/,wmbdradio.com,Indoor,Confirmed Indoor,No,1,https://wmbdradio.com/ | https://wmbdradio.com/contact-us/
IL-0002,IL-0002-A,4500 Fitness,7500 LOCATION 4500 Belmont Rd.,Downers Grove,60515,IL,https://4500fitness.org/,4500fitness.org,Indoor,Confirmed Indoor,Yes,2,https://4500fitness.org/ | https://4500fitness.org/contact-us | https://4500fitness.org/member-benefits | https://4500fitness.org/membership-fees | https://4500fitness.org/membership-information | https://4500fitness.org/membership-daily-passes
IL-0002,IL-0002-B,4500 Fitness,4500 Belmont Road,Downers Grove,60515,IL,https://4500fitness.org/,4500fitness.org,Indoor,Confirmed Indoor,Yes,2,https://4500fitness.org/ | https://4500fitness.org/contact-us | https://4500fitness.org/member-benefits | https://4500fitness.org/membership-fees | https://4500fitness.org/membership-information | https://4500fitness.org/membership-daily-passes
IL-0003,IL-0003-A,5 Stars Sports,,Little Village,,IL,https://www.5starssportsinc.com/,5starssportsinc.com,Indoor,Confirmed Indoor,No,1,https://www.5starssportsinc.com/ | https://www.5starssportsinc.com/about-3 | https://www.5starssportsinc.com/contact
IL-0004,IL-0004-A,Ackerman Sports & Fitness Center,800 St. Charles Road,Glen Ellyn,60137,IL,https://www.ackermansfc.com/,ackermansfc.com,Indoor,Confirmed Indoor,No,1,https://www.ackermansfc.com/ | https://www.ackermansfc.com/about/hours/ | https://www.ackermansfc.com/contact/ | https://www.ackermansfc.com/join/membership-options/ | https://www.ackermansfc.com/center-features/open-gym-turf/ | https://www.ackermansfc.com/facility-photos/
IL-0005,IL-0005-A,Aggression VBC,321 John M. Boor Dr.,Gilberts,60136,IL,https://www.aggressionvbc.com/,aggressionvbc.com,Indoor,Confirmed Indoor,No,1,https://www.aggressionvbc.com/ | https://www.aggressionvbc.com/about-us-1 | https://www.aggressionvbc.com/club-programs | https://www.aggressionvbc.com/girls-premier-plus-program-12u-18u | https://www.aggressionvbc.com/girls-premier-program-10u-18u | https://www.aggressionvbc.com/boys-premier-program-12u-18u
IL-0006,IL-0006-A,Alicia Williams Volleyball Camps,1308 W Bradley Ave.,Peoria,61625,IL,https://www.aliciawilliamsvolleyballcamps.com/,aliciawilliamsvolleyballcamps.com,Indoor,Confirmed Indoor,No,1,https://www.aliciawilliamsvolleyballcamps.com/ | https://www.aliciawilliamsvolleyballcamps.com/facilities-and-directions.cfm | https://www.aliciawilliamsvolleyballcamps.com/contact-us.cfm
IL-0007,IL-0007-A,All In,,Crystal Lake,,IL,https://www.allinvolleyball.com/,allinvolleyball.com,Indoor,Confirmed Indoor,No,1,https://www.allinvolleyball.com/ | https://www.allinvolleyball.com/contact.html
IL-0008,IL-0008-A,All In Academy | Main Website,6800 Forest Hills Road,Loves Park,61111,IL,https://www.iamallin.us/,iamallin.us,Indoor,Confirmed Indoor,No,1,https://www.iamallin.us/ | https://www.iamallin.us/about | https://www.iamallin.us/meet-our-team | https://www.iamallin.us/programs/sports-performance | https://www.iamallin.us/facility-rentals
IL-0009,IL-0009-A,ARC Activity & Recreation Center,600 East Willow Street,Normal,61761,IL,https://activityandrecreationcenter.org/,activityandrecreationcenter.org,Indoor,Confirmed Indoor,No,1,https://activityandrecreationcenter.org/ | https://activityandrecreationcenter.org/about-us | https://activityandrecreationcenter.org/program-highlights | https://activityandrecreationcenter.org/peace-meal-program
IL-0010,IL-0010-A,ARCON,,Lombard,,IL,https://arconassoc.com/,arconassoc.onmicrosoft.com,Indoor,Confirmed Indoor,No,1,https://arconassoc.com/ | https://arconassoc.com/approach/construction-management/ | https://arconassoc.com/contact/ | https://arconassoc.com/team/
IL-0011,IL-0011-A,Arizon Building Systems,1200 W. 7th Street,Granite City,62040,IL,https://arizonbuildingsystems.com/,arizoncompanies.com,Indoor,Confirmed Indoor,No,1,https://arizonbuildingsystems.com/ | https://arizonbuildingsystems.com/about/ | https://arizonbuildingsystems.com/join-our-team/ | https://arizonbuildingsystems.com/get-in-touch/ | https://arizonbuildingsystems.com/schedule-a-webinar/ | https://arizonbuildingsystems.com/energy-efficiencies/
IL-0012,IL-0012-A,Athletics,,,,IL,https://www.lfanet.org/athletics,lfacaxys.org,Indoor,Confirmed Indoor,No,1,https://www.lfanet.org/athletics
IL-0013,IL-0013-A,Aurora University Athletics,,Aurora,,IL,https://athletics.aurora.edu/,athletics.aurora.edu,Indoor,Confirmed Indoor,No,1,https://athletics.aurora.edu/ | https://athletics.aurora.edu/facilities | https://athletics.aurora.edu/staff-directory | https://athletics.aurora.edu/sports/2024/2/28/faculty-mentor-program.aspx | https://athletics.aurora.edu/news/2026/7/23/general-spartan-mens-and-womens-volleyball-programs-honored-with-avca-team-academic-award.aspx
IL-0014,IL-0014-A,AYSO 300,,Western Springs,,IL,https://ayso300.org/,ayso300.org,Indoor,Confirmed Indoor,No,1,https://ayso300.org/ | https://ayso300.org/about/ | https://ayso300.org/contact-us/
IL-0015,IL-0015-A,B.R. Ryall YMCA,,Glen Ellyn,,IL,https://www.brryallymca.org/,ryallymca.org,Indoor,Confirmed Indoor,No,1,https://www.brryallymca.org/ | https://www.brryallymca.org/programs | https://www.brryallymca.org/parkinsons-programs | https://www.brryallymca.org/bridge-club | https://www.brryallymca.org/membership-benefits | https://www.brryallymca.org/memberships/13
IL-0016,IL-0016-A,Be Elite Volleyball Club,290 Schoger Dr,Naperville,60564,IL,https://www.beelitevolleyball.com/,beelitevolleyball.com,Indoor,Confirmed Indoor,No,1,https://www.beelitevolleyball.com/ | https://www.beelitevolleyball.com/aboutus
