Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
MA-0001,MA-0001-A,- Dellbrook,,Quincy,,MA,https://www.dellbrook.com/,dellbrookjks.com,Indoor,Confirmed Indoor,No,1,https://www.dellbrook.com/
MA-0002,MA-0002-A,2023 ARCHITECTURE FIRM OF THE YEAR,,Harvard,,MA,https://www.maugel.com/,maugel.com,Indoor,Confirmed Indoor,No,1,https://www.maugel.com/ | https://www.maugel.com/about | https://www.maugel.com/contact
MA-0003,MA-0003-A,3STEP Sports,,Dartmouth,,MA,https://threestep.com/,threestep.com,Indoor,Confirmed Indoor,No,1,https://threestep.com/ | https://threestep.com/facilities/ | https://threestep.com/about-us/ | https://threestep.com/playerfirst/
MA-0004,MA-0004-A,About -- Fieldhouse Mansfield,,Mansfield,,MA,https://www.fieldhousemansfield.com/page/about,fieldhousemansfield.com,Indoor,Confirmed Indoor,No,1,https://www.fieldhousemansfield.com/page/about
MA-0005,MA-0005-A,About -- Fieldhouse Sudbury,,Sudbury,,MA,https://www.fieldhousesudbury.com/page/about,fieldhousesudbury.com,Indoor,Confirmed Indoor,No,1,https://www.fieldhousesudbury.com/page/about
MA-0006,MA-0006-A,ABOUT US - Universal Basketball Training,,South Hadley,,MA,https://www.universalbasketballtraining.com/,universalbasketballtraining.com,Indoor,Confirmed Indoor,No,1,https://www.universalbasketballtraining.com/ | https://www.universalbasketballtraining.com/about-us
MA-0007,MA-0007-A,Above the Rim Training,225 Union St.,Clinton,,MA,https://abovetherimtraining.net/,abovetherimtraining.net,Indoor,Confirmed Indoor,No,1,https://abovetherimtraining.net/
MA-0008,MA-0008-A,Acton Tennis Bubble,908 Main Street,Acton,,MA,https://www.actontennisbubble.com/,actontennisbubble.com,Indoor,Confirmed Indoor,No,1,https://www.actontennisbubble.com/ | https://www.actontennisbubble.com/about | https://www.actontennisbubble.com/contact
MA-0009,MA-0009-A,Advantage Soccer School,41 Obery Street,Plymouth,,MA,https://www.advantagesoccerschool.com/,advantagesoccerschool.com,Indoor,Confirmed Indoor,No,1,https://www.advantagesoccerschool.com/
MA-0010,MA-0010-A,All Sports Center,,North Reading,,MA,https://allsportscenterma.com/,allsportscenterma.com,Indoor,Confirmed Indoor,No,1,https://allsportscenterma.com/ | https://allsportscenterma.com/facility/ | https://allsportscenterma.com/contact/
MA-0011,MA-0011-A,American Platform Tennis Association,,,,MA,https://old.platformtennis.org/site3.aspx,platformtennis.org,Indoor,Confirmed Indoor,No,1,https://old.platformtennis.org/site3.aspx | https://old.platformtennis.org/Page2627.aspx | https://old.platformtennis.org/Page101.aspx | https://old.platformtennis.org/Page160.aspx | https://old.platformtennis.org/Page341.aspx | https://old.platformtennis.org/Page98.aspx | https://old.platformtennis.org/Page1064.aspx
MA-0012,MA-0012-A,Andover Knights of Columbus,1078 10 Brook St.,Andover,,MA,https://kofc1078.com/,kofc1078.com,Indoor,Confirmed Indoor,Yes,3,https://kofc1078.com/ | https://kofc1078.com/about-council1078/ | https://kofc1078.com/about-the-knights/ | https://kofc1078.com/membership/ | https://kofc1078.com/our-facility/ | https://kofc1078.com/building-management/ | http://kofc1078.com/about-council1078/
MA-0012,MA-0012-B,Andover Knights of Columbus,10 Brook Street,Andover,,MA,https://kofc1078.com/,kofc1078.com,Indoor,Confirmed Indoor,Yes,3,https://kofc1078.com/ | https://kofc1078.com/about-council1078/ | https://kofc1078.com/about-the-knights/ | https://kofc1078.com/membership/ | https://kofc1078.com/our-facility/ | https://kofc1078.com/building-management/ | http://kofc1078.com/about-council1078/
MA-0012,MA-0012-C,Andover Knights of Columbus,1078 Inc. operate a facility at 10 Brook Street,Andover,01810,MA,https://kofc1078.com/,kofc1078.com,Indoor,Confirmed Indoor,Yes,3,https://kofc1078.com/ | https://kofc1078.com/about-council1078/ | https://kofc1078.com/about-the-knights/ | https://kofc1078.com/membership/ | https://kofc1078.com/our-facility/ | https://kofc1078.com/building-management/ | http://kofc1078.com/about-council1078/
MA-0013,MA-0013-A,ARC,,Boston,,MA,https://www.arcusa.com/,arcusa.com,Indoor,Confirmed Indoor,No,1,https://www.arcusa.com/ | https://www.arcusa.com/practice/athletics-wellness | https://www.arcusa.com/people | https://www.arcusa.com/spaces/bostwick-family-squash-center-middlebury-college | https://www.arcusa.com/contact
MA-0014,MA-0014-A,Arlington Recreation: Online Registration by MyRec.com Recreation Management Software,,Arlington,,MA,https://arlingtonma.myrec.com/info/,arlingtonma.myrec.com,Indoor,Confirmed Indoor,No,1,https://arlingtonma.myrec.com/info/ | https://arlingtonma.myrec.com/info/activities/default.aspx | https://arlingtonma.myrec.com/info/facilities/default.aspx | https://arlingtonma.myrec.com/info/contact/default.aspx | https://arlingtonma.myrec.com/info/news/default.aspx | https://arlingtonma.myrec.com/info/dept/default.aspx
MA-0015,MA-0015-A,ASA Hoops,,Newton,,MA,https://asahoops.com/,asahoops.com,Indoor,Confirmed Indoor,No,1,https://asahoops.com/ | https://asahoops.com/about-us/ | https://asahoops.com/about-us/gyms/ | https://asahoops.com/about-us/our-coaches/ | https://asahoops.com/about-us/player-spotlight/ | https://asahoops.com/about-us/testimonials/ | https://asahoops.com/home/memberships/
MA-0016,MA-0016-A,"Ascension Memorial Church, Ipswich",31 County Street,Ipswich,,MA,https://www.amcipswich.org/,amcipswich.org,Indoor,Confirmed Indoor,Yes,2,https://www.amcipswich.org/ | https://www.amcipswich.org/about-ascension | https://www.amcipswich.org/the-staff | https://www.amcipswich.org/facility-rentals | https://www.amcipswich.org/introduction-to-worship | https://www.amcipswich.org/music-at-ascension
MA-0016,MA-0016-B,"Ascension Memorial Church, Ipswich",00 PM Ascension Memorial Church 31 County Street,Ipswich,,MA,https://www.amcipswich.org/,amcipswich.org,Indoor,Confirmed Indoor,Yes,2,https://www.amcipswich.org/ | https://www.amcipswich.org/about-ascension | https://www.amcipswich.org/the-staff | https://www.amcipswich.org/facility-rentals | https://www.amcipswich.org/introduction-to-worship | https://www.amcipswich.org/music-at-ascension
MA-0017,MA-0017-A,Assumption University,2022 ALL RIGHTS RESERVED 500 Salisbury Street,Worcester,01609,MA,https://assumptiongreyhounds.com/,assumptiongreyhounds.com,Indoor,Confirmed Indoor,No,1,https://assumptiongreyhounds.com/ | https://assumptiongreyhounds.com/sports/2022/4/12/athletics-SPORTS-INFO-PAGE-index.aspx | https://assumptiongreyhounds.com/staff-directory | https://assumptiongreyhounds.com/sports/2022/4/12/athletics-compliance-index.aspx | https://assumptiongreyhounds.com/sports/2022/4/12/athletics-asm-directions.aspx | https://assumptiongreyhounds.com/Facilities/ | https://assumptiongreyhounds.com/sports/2022/4/12/athletics-hall-of-fame-index.aspx
MA-0018,MA-0018-A,Athletics,,,,MA,https://athletics.brimmer.org/,athletics.brimmer.org,Indoor,Confirmed Indoor,No,1,https://athletics.brimmer.org/ | https://athletics.brimmer.org/staff | https://athletics.brimmer.org/facilities | https://athletics.brimmer.org/45-grade-program | https://athletics.brimmer.org/all-events | https://athletics.brimmer.org/athletics-strategic-plan
MA-0019,MA-0019-A,Athol Area YMCA,,Athol,,MA,https://ymcaathol.org/,ymcaathol.org,Indoor,Confirmed Indoor,No,1,https://ymcaathol.org/ | https://ymcaathol.org/membership/membership-info/ | https://ymcaathol.org/membership/financial-assistance/ | https://ymcaathol.org/membership/the-y-in-orange/ | https://ymcaathol.org/membership/main-street-gym/ | https://ymcaathol.org/programs/aquatics/swim-team/
