Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
MD-0001,MD-0001-A,A3 Soccer,,Edgewater,,MD,https://a3soccer.com/,a3soccer.com,Indoor,Confirmed Indoor,No,1,https://a3soccer.com/ | https://a3soccer.com/club/aboutus | https://a3soccer.com/club/staff | https://a3soccer.com/club/facilities | https://a3soccer.com/club/contact | https://a3soccer.com/club/playerdevelopmentprogram | https://a3soccer.com/club/winterprograms
MD-0002,MD-0002-A,Academy Volleyball Club (DC),,,,MD,https://academy-volleyball.sportngin.com/,academy-volleyball.sportngin.com,Indoor,Confirmed Indoor,No,1,https://academy-volleyball.sportngin.com/ | https://academy-volleyball.sportngin.com/aboutus | https://academy-volleyball.sportngin.com/totalathlete
MD-0003,MD-0003-A,Alexander Basketball Academy,,,,MD,https://abasketballacademy.com/,abasketballacademy.com,Indoor,Confirmed Indoor,No,1,https://abasketballacademy.com/ | https://abasketballacademy.com/membership-levels/ | https://abasketballacademy.com/basketball-shooting-machine-rental/ | https://abasketballacademy.com/pickleball-court-rental/ | https://abasketballacademy.com/contact/
MD-0004,MD-0004-A,Annapolis Volleyball Club,,Millersville,,MD,https://www.annapolisvolleyballclub.com/,annapolisvolleyballclub.com,Indoor,Confirmed Indoor,No,1,https://www.annapolisvolleyballclub.com/ | https://www.annapolisvolleyballclub.com/staff | https://www.annapolisvolleyballclub.com/contactus
MD-0005,MD-0005-A,Athletic Republic - District Heights,,District Heights,,MD,https://capitolregion.athleticrepublic.com/,athleticrepublicteam.com,Indoor,Confirmed Indoor,No,1,https://capitolregion.athleticrepublic.com/ | https://capitolregion.athleticrepublic.com/sports-facility-rental-district-heights/ | https://capitolregion.athleticrepublic.com/about-us/ | https://capitolregion.athleticrepublic.com/contact/ | https://capitolregion.athleticrepublic.com/sports-performance-training-district-heights-md/ | https://capitolregion.athleticrepublic.com/fitness-training-district-heights-md/
MD-0006,MD-0006-A,Athletics IT,8500 Paint Branch Dr,College Park,20740,MD,https://athleticsit.umd.edu/,umd.edu,Indoor,Confirmed Indoor,No,1,https://athleticsit.umd.edu/ | https://athleticsit.umd.edu/facilities | https://athleticsit.umd.edu/about | https://athleticsit.umd.edu/staff | https://shib.idm.umd.edu/shibboleth-idp/profile/cas/login?execution=e1s1 | https://athleticsit.umd.edu/facilities/xfinity-center | https://athleticsit.umd.edu/facilities/gossett-hall
MD-0007,MD-0007-A,Baltimore Elite Volleyball Club,,Roland Park,,MD,https://www.baltimoreelitevbc.com/,baltimoreelitevbc.com,Indoor,Confirmed Indoor,No,1,https://www.baltimoreelitevbc.com/ | https://www.baltimoreelitevbc.com/about
MD-0008,MD-0008-A,Baltimore Maryland's Leading Youth Soccer Club,1400 Coppermine Terrace,Baltimore,21209,MD,https://www.copperminesoccer.com/,copperminesoccer.com,Indoor,Confirmed Indoor,Yes,7,https://www.copperminesoccer.com/ | https://www.copperminesoccer.com/who-we-are | https://www.copperminesoccer.com/staff | https://www.copperminesoccer.com/facilities | https://www.copperminesoccer.com/youth-programs | https://www.copperminesoccer.com/contact-us
MD-0008,MD-0008-B,Baltimore Maryland's Leading Youth Soccer Club,3701 Sinclair Ln,Baltimore,21213,MD,https://www.copperminesoccer.com/,copperminesoccer.com,Indoor,Confirmed Indoor,Yes,7,https://www.copperminesoccer.com/ | https://www.copperminesoccer.com/who-we-are | https://www.copperminesoccer.com/staff | https://www.copperminesoccer.com/facilities | https://www.copperminesoccer.com/youth-programs | https://www.copperminesoccer.com/contact-us
MD-0008,MD-0008-C,Baltimore Maryland's Leading Youth Soccer Club,7200 Sollers Point Rd,Baltimore,21222,MD,https://www.copperminesoccer.com/,copperminesoccer.com,Indoor,Confirmed Indoor,Yes,7,https://www.copperminesoccer.com/ | https://www.copperminesoccer.com/who-we-are | https://www.copperminesoccer.com/staff | https://www.copperminesoccer.com/facilities | https://www.copperminesoccer.com/youth-programs | https://www.copperminesoccer.com/contact-us
MD-0008,MD-0008-D,Baltimore Maryland's Leading Youth Soccer Club,21229 Loyola BlakeField 500 Chestnut Ave,Towson,21204,MD,https://www.copperminesoccer.com/,copperminesoccer.com,Indoor,Confirmed Indoor,Yes,7,https://www.copperminesoccer.com/ | https://www.copperminesoccer.com/who-we-are | https://www.copperminesoccer.com/staff | https://www.copperminesoccer.com/facilities | https://www.copperminesoccer.com/youth-programs | https://www.copperminesoccer.com/contact-us
MD-0008,MD-0008-E,Baltimore Maryland's Leading Youth Soccer Club,11232 Falls Rd,Lutherville-Timonium,21093,MD,https://www.copperminesoccer.com/,copperminesoccer.com,Indoor,Confirmed Indoor,Yes,7,https://www.copperminesoccer.com/ | https://www.copperminesoccer.com/who-we-are | https://www.copperminesoccer.com/staff | https://www.copperminesoccer.com/facilities | https://www.copperminesoccer.com/youth-programs | https://www.copperminesoccer.com/contact-us
MD-0008,MD-0008-F,Baltimore Maryland's Leading Youth Soccer Club,900 E 33rd St,Baltimore,21218,MD,https://www.copperminesoccer.com/,copperminesoccer.com,Indoor,Confirmed Indoor,Yes,7,https://www.copperminesoccer.com/ | https://www.copperminesoccer.com/who-we-are | https://www.copperminesoccer.com/staff | https://www.copperminesoccer.com/facilities | https://www.copperminesoccer.com/youth-programs | https://www.copperminesoccer.com/contact-us
MD-0008,MD-0008-G,Baltimore Maryland's Leading Youth Soccer Club,7537 Auburn Dr,Towson,21204,MD,https://www.copperminesoccer.com/,copperminesoccer.com,Indoor,Confirmed Indoor,Yes,7,https://www.copperminesoccer.com/ | https://www.copperminesoccer.com/who-we-are | https://www.copperminesoccer.com/staff | https://www.copperminesoccer.com/facilities | https://www.copperminesoccer.com/youth-programs | https://www.copperminesoccer.com/contact-us
MD-0009,MD-0009-A,Barrie School,,Silver Spring,,MD,https://www.barrie.org/,barrie.org,Indoor,Confirmed Indoor,No,1,https://www.barrie.org/ | https://www.barrie.org/about/welcome | https://www.barrie.org/about/glance | https://www.barrie.org/about/mission | https://www.barrie.org/about/diversity | https://www.barrie.org/about/leadership | https://www.barrie.org/about/what-is-school-for
MD-0010,MD-0010-A,Basketball Shooting Machine,,Gaithersburg,,MD,https://www.drdishbasketball.com/,drdishbasketball.com,Indoor,Confirmed Indoor,No,1,https://www.drdishbasketball.com/ | https://www.drdishbasketball.com/upgrade | https://www.drdishbasketball.com/home/membership | https://www.drdishbasketball.com/facilities | https://www.drdishbasketball.com/facilities/products/fclty | https://www.drdishbasketball.com/facilities/products/fclty1 | https://www.drdishbasketball.com/facilities/featured
MD-0011,MD-0011-A,Bay Area Volleyball Academy,,,,MD,https://www.bayvolleyball.com/,bayvolleyball.com,Indoor,Confirmed Indoor,No,1,https://www.bayvolleyball.com/ | https://www.bayvolleyball.com/page/show/3082884-about-bava
MD-0012,MD-0012-A,Benfield Sportscenter,,Millersville,,MD,https://www.benfieldsc.com/,benfieldsc.com,Indoor,Confirmed Indoor,No,1,https://www.benfieldsc.com/ | https://www.benfieldsc.com/rental.html | https://www.benfieldsc.com/contact-us.html | https://www.benfieldsc.com/facility-layout.html | https://www.benfieldsc.com/about-us.html
MD-0013,MD-0013-A,Bethesda Soccer Club,8717 Grovemont Circle,Gaithersburg,,MD,https://www.bethesdasoccer.org/,bethesdasoccer.org,Indoor,Confirmed Indoor,No,1,https://www.bethesdasoccer.org/ | https://www.bethesdasoccer.org/resources/ | https://www.bethesdasoccer.org/indoor-facility/ | https://www.bethesdasoccer.org/scholarship-program/ | https://www.bethesdasoccer.org/indoor-facility/youth/ | https://www.bethesdasoccer.org/youth-programs/ | https://www.bethesdasoccer.org/programs/tots-toddlers/
MD-0014,MD-0014-A,Bounce Pickleball,,Baltimore,,MD,https://bouncepb.com/,bouncepb.com,Indoor,Confirmed Indoor,No,1,https://bouncepb.com/ | https://bouncepb.com/about
MD-0015,MD-0015-A,Bowleys Marina,,Baltimore,,MD,https://bowleysmarina.com/,bowleysmarina.com,Indoor,Confirmed Indoor,No,1,https://bowleysmarina.com/ | https://bowleysmarina.com/about-us/ | https://bowleysmarina.com/about-us/amenities/ | https://bowleysmarina.com/about-us/services/ | https://bowleysmarina.com/about-us/frequently-asked-questions/ | https://bowleysmarina.com/about-us/address-hours/ | https://bowleysmarina.com/about-us/location/
MD-0016,MD-0016-A,Brazilian United,,,,MD,https://programs.brazilianunited.com/,brazilianunited.com,Indoor,Confirmed Indoor,No,1,https://programs.brazilianunited.com/ | https://programs.brazilianunited.com/buc/winter-programs | https://programs.brazilianunited.com/buc/spring-clinics | https://programs.brazilianunited.com/buc/summer-camp | https://programs.brazilianunited.com/buc/fall-clinics
MD-0017,MD-0017-A,Capital Badminton,,Columbia,,MD,https://www.capitalbadminton.com/,capitalbadminton.com,Indoor,Confirmed Indoor,No,1,https://www.capitalbadminton.com/ | https://www.capitalbadminton.com/gaithersburg-training | https://www.capitalbadminton.com/membership-columbia | https://www.capitalbadminton.com/court-rental | https://www.capitalbadminton.com/about
MD-0018,MD-0018-A,Carroll Indoor Sports Center,,Westminster,,MD,https://carroll-indoor.com/,carroll-indoor.com,Indoor,Confirmed Indoor,No,1,https://carroll-indoor.com/ | https://carroll-indoor.com/contact/ | https://carroll-indoor.com/field-and-court-rentals/ | https://carroll-indoor.com/sport/parties-rentals/
MD-0019,MD-0019-A,CCBC Dundalk,7200 Sollers Point Road,Baltimore,,MD,https://ccbcdundalklions.com/landing/index,ccbcdundalklions.com,Indoor,Confirmed Indoor,Yes,5,https://ccbcdundalklions.com/landing/index | https://ccbcdundalklions.com/information/directory/index | https://ccbcdundalklions.com/information/directory/Overview | https://ccbcdundalklions.com/information/directory/Philosophy | https://ccbcdundalklions.com/information/directory/Intramurals | https://ccbcdundalklions.com/information/directory/Camps_-_Leagues
MD-0019,MD-0019-B,CCBC Dundalk,5015 Campbell Blvd.,Baltimore,,MD,https://ccbcdundalklions.com/landing/index,ccbcdundalklions.com,Indoor,Confirmed Indoor,Yes,5,https://ccbcdundalklions.com/landing/index | https://ccbcdundalklions.com/information/directory/index | https://ccbcdundalklions.com/information/directory/Overview | https://ccbcdundalklions.com/information/directory/Philosophy | https://ccbcdundalklions.com/information/directory/Intramurals | https://ccbcdundalklions.com/information/directory/Camps_-_Leagues
MD-0019,MD-0019-C,CCBC Dundalk,8225 Town Center Drive,Baltimore,21236,MD,https://ccbcdundalklions.com/landing/index,ccbcdundalklions.com,Indoor,Confirmed Indoor,Yes,5,https://ccbcdundalklions.com/landing/index | https://ccbcdundalklions.com/information/directory/index | https://ccbcdundalklions.com/information/directory/Overview | https://ccbcdundalklions.com/information/directory/Philosophy | https://ccbcdundalklions.com/information/directory/Intramurals | https://ccbcdundalklions.com/information/directory/Camps_-_Leagues
MD-0019,MD-0019-D,CCBC Dundalk,10465 Philadelphia Road,White Marsh,,MD,https://ccbcdundalklions.com/landing/index,ccbcdundalklions.com,Indoor,Confirmed Indoor,Yes,5,https://ccbcdundalklions.com/landing/index | https://ccbcdundalklions.com/information/directory/index | https://ccbcdundalklions.com/information/directory/Overview | https://ccbcdundalklions.com/information/directory/Philosophy | https://ccbcdundalklions.com/information/directory/Intramurals | https://ccbcdundalklions.com/information/directory/Camps_-_Leagues
MD-0019,MD-0019-E,CCBC Dundalk,6110 Greenleigh Avenue,Middle River,21220,MD,https://ccbcdundalklions.com/landing/index,ccbcdundalklions.com,Indoor,Confirmed Indoor,Yes,5,https://ccbcdundalklions.com/landing/index | https://ccbcdundalklions.com/information/directory/index | https://ccbcdundalklions.com/information/directory/Overview | https://ccbcdundalklions.com/information/directory/Philosophy | https://ccbcdundalklions.com/information/directory/Intramurals | https://ccbcdundalklions.com/information/directory/Camps_-_Leagues
MD-0020,MD-0020-A,CCBC Essex,,Baltimore,,MD,https://ccbcessexknights.com/landing/index,ccbcessexknights.com,Indoor,Confirmed Indoor,No,1,https://ccbcessexknights.com/landing/index | https://ccbcessexknights.com/information/directory/index | https://ccbcessexknights.com/information/directory/Athletics%20Overview | https://ccbcessexknights.com/information/directory/athleticsphilosophy | https://ccbcessexknights.com/information/directory/NJCAA%20Eligibility | https://ccbcessexknights.com/information/directory/LeaguesCamps/form
MD-0021,MD-0021-A,Chevy Chase Club Home Page,6100 Connecticut Avenue,Chevy Chase,20815,MD,https://www.chevychaseclub.org/,chevychaseclub.org,Indoor,Confirmed Indoor,No,1,https://www.chevychaseclub.org/ | https://www.chevychaseclub.org/guests
MD-0022,MD-0022-A,Congressional Country Club,,Bethesda,,MD,https://www.ccclub.org/,ccclub.org,Indoor,Confirmed Indoor,No,1,https://www.ccclub.org/
MD-0023,MD-0023-A,DC Military,2026 DC Military 29088 Airpark Drive,Easton,,MD,https://www.dcmilitary.com/,dcmilitary.com,Indoor,Confirmed Indoor,No,1,https://www.dcmilitary.com/ | https://www.dcmilitary.com/site/about.html
MD-0024,MD-0024-A,DCA Active,9720 Good Luck Rd,Lanham,20706,MD,https://dcaactive.org/,dcaactive.org,Indoor,Confirmed Indoor,No,1,https://dcaactive.org/ | https://dcaactive.org/programs/men/ | https://dcaactive.org/programs/women/ | https://dcaactive.org/programs/kids/ | https://dcaactive.org/facilities/ | https://dcaactive.org/memberships/
MD-0025,MD-0025-A,Deep Creek Condo Rentals,20160 Garrett Highway,Oakland,21550,MD,https://www.willothewisp.com/,willothewisp.com,Indoor,Confirmed Indoor,No,1,https://www.willothewisp.com/ | https://www.willothewisp.com/history-will-o-wisp | https://www.willothewisp.com/rental-policies | https://www.willothewisp.com/contact-us
MD-0026,MD-0026-A,Domain Fitness & Sports,,Burtonsville,,MD,https://www.domainfitness.live/,domainfitnessmd.com,Indoor,Confirmed Indoor,No,1,https://www.domainfitness.live/ | https://www.domainfitness.live/contact | https://www.domainfitness.live/join | https://www.domainfitness.live/training | https://www.domainfitness.live/schedule | https://www.domainfitness.live/gallery | https://www.domainfitness.live/programs
MD-0027,MD-0027-A,Doug Remer Sports,,Kensington,,MD,https://drsports.org/,drsports.org,Indoor,Confirmed Indoor,No,1,https://drsports.org/ | https://drsports.org/programs/ | https://drsports.org/the-remerball-ecosystem-athletics-academics-and-character/ | https://drsports.org/about-us/ | https://drsports.org/contact/ | https://drsports.org/baseball-camp-fall-2025/
MD-0028,MD-0028-A,Elite,,Hagerstown,,MD,https://www.libertyelitevolleyball.com/,libertyelitevolleyball.com,Indoor,Confirmed Indoor,No,1,https://www.libertyelitevolleyball.com/ | https://www.libertyelitevolleyball.com/about-us | https://www.libertyelitevolleyball.com/coaching-staff | https://www.libertyelitevolleyball.com/our-facility | https://www.libertyelitevolleyball.com/liberty-littles-program
MD-0029,MD-0029-A,Elkridge Athletic Club,6801 Douglas Legum Drive,Elkridge,21075,MD,https://elkridgeathleticclub.com/,elkridgeathleticclub.com,Indoor,Confirmed Indoor,No,1,https://elkridgeathleticclub.com/ | https://elkridgeathleticclub.com/about/ | https://elkridgeathleticclub.com/contact/
MD-0030,MD-0030-A,Elkton Indoor Tennis - www.elktonindoortennis.com,,Elkton,,MD,https://www.elktonindoortennis.com/pages/index.cfm?siteid=1385,elktonindoortennis.com,Indoor,Confirmed Indoor,No,1,https://www.elktonindoortennis.com/pages/index.cfm?siteid=1385
MD-0031,MD-0031-A,FC Frederick - Innovative Coaching | Dynamic Players | Top Competition,1799 Schifferstadt Boulevard,Frederick,21701,MD,https://fcfrederick.com/,fcfrederick.com,Indoor,Confirmed Indoor,Yes,2,https://fcfrederick.com/ | https://fcfrederick.com/club/ | https://fcfrederick.com/programs/ | https://fcfrederick.com/programs/evaluations/ | https://fcfrederick.com/programs/fees/ | https://fcfrederick.com/programs/PRO-NPSL/ | https://fcfrederick.com/programs/seniors/
