Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
NC-0001,NC-0001-A,10 Federal Storage,,Winterville,,NC,https://10federalstorage.com/,10federalstorage.com,Indoor,Confirmed Indoor,No,1,https://10federalstorage.com/ | https://10federalstorage.com/contact-us | https://10federalstorage.com/storage-management-services | https://10federalstorage.com/about-us
NC-0002,NC-0002-A,2-4-1Play,,Maryland,,NC,https://241play.org/,241play.org,Indoor,Confirmed Indoor,No,1,https://241play.org/ | https://241play.org/about/ | https://241play.org/schools-and-community/ | https://241play.org/programs/ | https://241play.org/program/fencing/ | https://241play.org/program/africa/ | https://241play.org/program/bjm/
NC-0003,NC-0003-A,316 Sports > Home,,Indian Trail,,NC,https://www.316-sports.com/,316-sports.com,Indoor,Confirmed Indoor,No,1,https://www.316-sports.com/ | https://www.316-sports.com/Default.aspx
NC-0004,NC-0004-A,ABC11 Raleigh-Durham,,Raleigh,,NC,https://abc11.com/,abc11.com,Indoor,Confirmed Indoor,No,1,"https://abc11.com/ | https://abc11.com/watch/11065013/ | https://abc11.com/about/newsteam/diane-wilson/?userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513,kabc_content_recs-577*variant_a_control-2480,wls_content_recs-584*variant_b_trending_wls-2517,wtvd_content_recs-585*variant_b_trending_wtvd-2519,ktrk_content_recs-587*variant_a_control_ktrk-2522,wpvi_content_recs-586*variant_a_control_wpvi-2520,otv_web_content_rec-539*variant_c_trending-2268,otv_web_topic-580*variant_b_topic_redesign-2509,otv_search_page_design_unification-546*variant_b_search_redesign-2300,kgo_content_recs-583*variant_b_trending_kgo-2515,abcn_popular_reads_exp-542*variant_b_7days_filter-2288,otvlink_abcnnav-576*variant_a_control-2478 | https://abc11.com/post/holly-christina-photography-raleigh-wedding-owners-speak-court-were-trying-hardest/19657935/?userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513,kabc_content_recs-577*variant_a_control-2480,wls_content_recs-584*variant_b_trending_wls-2517,wtvd_content_recs-585*variant_b_trending_wtvd-2519,ktrk_content_recs-587*variant_a_control_ktrk-2522,wpvi_content_recs-586*variant_a_control_wpvi-2520,otv_web_content_rec-539*variant_c_trending-2268,otv_web_topic-580*variant_b_topic_redesign-2509,otv_search_page_design_unification-546*variant_b_search_redesign-2300,kgo_content_recs-583*variant_b_trending_kgo-2515,abcn_popular_reads_exp-542*variant_b_7days_filter-2288,otvlink_abcnnav-576*variant_a_control-2478 | https://abc11.com/about/?userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513,kabc_content_recs-577*variant_a_control-2480,wls_content_recs-584*variant_b_trending_wls-2517,wtvd_content_recs-585*variant_b_trending_wtvd-2519,ktrk_content_recs-587*variant_a_control_ktrk-2522,wpvi_content_recs-586*variant_a_control_wpvi-2520,otv_web_content_rec-539*variant_c_trending-2268,otv_web_topic-580*variant_b_topic_redesign-2509,otv_search_page_design_unification-546*variant_b_search_redesign-2300,kgo_content_recs-583*variant_b_trending_kgo-2515,abcn_popular_reads_exp-542*variant_b_7days_filter-2288,otvlink_abcnnav-576*variant_a_control-2478 | https://abc11.com/post/contact-abc11-wtvd-eyewitness-news/26170/?userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513%2Ckabc_content_recs-577*variant_a_control-2480%2Cwls_content_recs-584*variant_b_trending_wls-2517%2Cwtvd_content_recs-585*variant_b_trending_wtvd-2519%2Cktrk_content_recs-587*variant_a_control_ktrk-2522%2Cwpvi_content_recs-586*variant_a_control_wpvi-2520%2Cotv_web_content_rec-539*variant_c_trending-2268%2Cotv_web_topic-580*variant_b_topic_redesign-2509%2Cotv_search_page_design_unification-546*variant_b_search_redesign-2300%2Ckgo_content_recs-583*variant_b_trending_kgo-2515%2Cabcn_popular_reads_exp-542*variant_b_7days_filter-2288%2Cotvlink_abcnnav-576*variant_a_control-2478&userab=kfsn_content_recs-582*variant_b_trending_kfsn-2513%2Ckabc_content_recs-577*variant_a_control-2480%2Cwls_content_recs-584*variant_b_trending_wls-2517%2Cwtvd_content_recs-585*variant_b_trending_wtvd-2519%2Cktrk_content_recs-587*variant_a_control_ktrk-2522%2Cwpvi_content_recs-586*variant_a_control_wpvi-2520%2Cotv_web_content_rec-539*variant_c_trending-2268%2Cotv_web_topic-580*variant_b_topic_redesign-2509%2Cotv_search_page_design_unification-546*variant_b_search_redesign-2300%2Ckgo_content_recs-583*variant_b_trending_kgo-2515%2Cabcn_popular_reads_exp-542*variant_b_7days_filter-2288%2Cotvlink_abcnnav-576*variant_a_control-2478"
NC-0005,NC-0005-A,Accelerate Bball,,,,NC,https://www.acceleratebasketball.com/,acceleratebasketball.com,Indoor,Confirmed Indoor,No,1,https://www.acceleratebasketball.com/ | https://www.acceleratebasketball.com/our-team | https://www.acceleratebasketball.com/about-us
NC-0006,NC-0006-A,Alamance County Recreation and Parks,,,,NC,https://alamance.recdesk.com/Community/Home,alamance.recdesk.com,Indoor,Confirmed Indoor,No,1,https://alamance.recdesk.com/Community/Home | https://alamance.recdesk.com/Community/Program | https://alamance.recdesk.com/Community/Membership | https://alamance.recdesk.com/Community/Facility
NC-0007,NC-0007-A,Altamont Property Group,1013 Fassifern Court,Hendersonville,28791,NC,https://altamontpropertygroup.com/,altamontpropertygroup.com,Indoor,Confirmed Indoor,No,1,https://altamontpropertygroup.com/ | https://altamontpropertygroup.com/about/ | https://altamontpropertygroup.com/featured-listings/1013-fassifern-ct/
NC-0008,NC-0008-A,"Apex, NC",,Apex,,NC,https://apexnc.org/,apexnc.org,Indoor,Confirmed Indoor,No,1,https://apexnc.org/ | https://apexnc.org/223/Parks-Recreation-Cultural-Resources | https://apexnc.org/2050/Brown-Bags-to-Building-Bridges-B4-Series | https://apexnc.org/2014/Billing-Updates | https://apexnc.org/423/Youth-Athletics | https://apexnc.org/m/directory | https://cpauthentication.civicplus.com/Identity/Account/Login?ReturnUrl=%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3D9a8dd6bf-be94-451e-a313-545d7ce80a46%26redirect_uri%3Dhttps%253A%252F%252Fwww.apexnc.org%252FIdentityServer%252FSignInCallback%26response_type%3Dcode%2520id_token%2520token%26scope%3Dopenid%2520profile%2520email%2520account.api%26state%3D4666b4dda8e14269984c3180e522b44c_https%253A%252F%252Fwww.apexnc.org%252Fmyaccount%252Fprofile%26nonce%3D041c6bd7b712462687b93503ece8d53e%26response_mode%3Dform_post%26acr_values%3DOrgBranding%253A5d33191e-c82f-40e0-afac-a55d37ef7cdc%26code_challenge%3Dd7f598df46971a5220a15e5618394c06b52508d926beeb931f6b36a66970ff6e%26code_challenge_method%3DS256%26login_origin_uri%3Dhttps%253A%252F%252Fwww.apexnc.org%252Fmyaccount%252Fprofile
NC-0009,NC-0009-A,Arendell Parrott Academy,,Kinston,,NC,https://www.parrottacademy.org/,parrottacademy.org,Indoor,Confirmed Indoor,No,1,https://www.parrottacademy.org/ | https://www.parrottacademy.org/about-apa | https://www.parrottacademy.org/about-apa/head-of-schools-welcome | https://www.parrottacademy.org/about-apa/mission-philosphy-history | https://www.parrottacademy.org/about-apa/our-community | https://www.parrottacademy.org/about-apa/faculty-staff | https://www.parrottacademy.org/about-apa/what-our-alumni-have-to-say
NC-0010,NC-0010-A,Asheville,1190 Patton Ave,Asheville,28806,NC,https://828newsnow.com/,828newsnow.com,Indoor,Confirmed Indoor,No,1,https://828newsnow.com/ | https://828newsnow.com/about-us/ | https://828newsnow.com/contact-us/
NC-0011,NC-0011-A,Asheville Buncombe Regional Sports Commission,,Asheville,,NC,https://ashevillesportscommission.com/,ashevillesports.org,Indoor,Confirmed Indoor,No,1,https://ashevillesportscommission.com/ | https://ashevillesportscommission.com/staff | https://ashevillesportscommission.com/contact-1 | https://ashevillesportscommission.com/history | https://ashevillesportscommission.com/news-1/2026/7/20/blue-ridge-pickleball-takes-center-court-in-asheville-aug-1216 | https://ashevillesportscommission.com/about
NC-0012,NC-0012-A,Asheville Sports Club,,Asheville,,NC,https://www.ashevillesportsclub.com/,ashevillesportsclub.com,Indoor,Confirmed Indoor,No,1,https://www.ashevillesportsclub.com/ | https://www.ashevillesportsclub.com/reserve | https://www.ashevillesportsclub.com/contact
