Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
NJ-0001,NJ-0001-A,AAU Basketball,,Mahwah,,NJ,https://www.stacknj.com/,stacknj.com,Indoor,Confirmed Indoor,No,1,https://www.stacknj.com/ | https://www.stacknj.com/aau-basketball/season-programs/ | https://www.stacknj.com/girls-aau-program/ | https://www.stacknj.com/the-best-aau-basketball-program/ | https://www.stacknj.com/open-gym-membership/ | https://www.stacknj.com/basketball-volleyball-court-rental/ | https://www.stacknj.com/coaching-staff/
NJ-0002,NJ-0002-A,Atlantic Fieldhouse,,,,NJ,https://www.atlanticfieldhouse.com/,atlanticfieldhouse.com,Indoor,Confirmed Indoor,No,1,https://www.atlanticfieldhouse.com/ | https://www.atlanticfieldhouse.com/turf-field-rentals | https://www.atlanticfieldhouse.com/about-us
NJ-0003,NJ-0003-A,Basketball Shooting Machine,,Freehold,,NJ,https://www.drdishbasketball.com/,drdishbasketball.com,Indoor,Confirmed Indoor,No,1,https://www.drdishbasketball.com/ | https://www.drdishbasketball.com/upgrade | https://www.drdishbasketball.com/home/membership | https://www.drdishbasketball.com/facilities | https://www.drdishbasketball.com/facilities/products/fclty | https://www.drdishbasketball.com/facilities/products/fclty1 | https://www.drdishbasketball.com/facilities/featured
NJ-0004,NJ-0004-A,Bergen Volleyball Club,467 Grandview Ave,Wyckoff,07481,NJ,https://bergenvolleyball.com/,bergenvolleyball.com,Indoor,Confirmed Indoor,Yes,3,https://bergenvolleyball.com/ | https://bergenvolleyball.com/volleyball-academy/ | https://bergenvolleyball.com/volleyball-academy-program/ | https://bergenvolleyball.com/open-programs-for-registration/ | https://bergenvolleyball.com/contact/
NJ-0004,NJ-0004-B,Bergen Volleyball Club,145 Hopper Ave,Waldwick,07463,NJ,https://bergenvolleyball.com/,bergenvolleyball.com,Indoor,Confirmed Indoor,Yes,3,https://bergenvolleyball.com/ | https://bergenvolleyball.com/volleyball-academy/ | https://bergenvolleyball.com/volleyball-academy-program/ | https://bergenvolleyball.com/open-programs-for-registration/ | https://bergenvolleyball.com/contact/
NJ-0004,NJ-0004-C,Bergen Volleyball Club,467 Grandview Avenue,Wyckoff,07481,NJ,https://bergenvolleyball.com/,bergenvolleyball.com,Indoor,Confirmed Indoor,Yes,3,https://bergenvolleyball.com/ | https://bergenvolleyball.com/volleyball-academy/ | https://bergenvolleyball.com/volleyball-academy-program/ | https://bergenvolleyball.com/open-programs-for-registration/ | https://bergenvolleyball.com/contact/
NJ-0005,NJ-0005-A,Bethany Community Center,,Washington,,NJ,https://www.bethanycommunitycenter.com/,bethanycommunitycenter.com,Indoor,Confirmed Indoor,No,1,https://www.bethanycommunitycenter.com/ | https://www.bethanycommunitycenter.com/memberships | https://www.bethanycommunitycenter.com/rentals
NJ-0006,NJ-0006-A,Branchburg Sports Complex,47 Readington Road,Branchburg,,NJ,https://branchburgsports.com/,branchburgsports.com,Indoor,Confirmed Indoor,No,1,https://branchburgsports.com/ | https://branchburgsports.com/contact-us/ | https://branchburgsports.com/bsc-sports-programs/ | https://branchburgsports.com/bsc-sports-programs/soccer-classes-nj/ | https://branchburgsports.com/bsc-sports-programs/soccer-classes-nj/lil-kickers-soccer/ | https://branchburgsports.com/bsc-sports-programs/soccer-classes-nj/next-step-youth-soccer/ | https://branchburgsports.com/bsc-sports-programs/youth-basketball-classes-nj/
NJ-0007,NJ-0007-A,Brielle Sports Club,,Brielle,,NJ,https://briellesportsclub.com/,briellesportsclub.com,Indoor,Confirmed Indoor,No,1,https://briellesportsclub.com/ | https://briellesportsclub.com/contact-us/ | https://briellesportsclub.com/court-schedule/
NJ-0008,NJ-0008-A,Chatham Day School,,Chatham,,NJ,https://chathamdayschool.org/,chathamdayschool.org,Indoor,Confirmed Indoor,No,1,https://chathamdayschool.org/ | https://chathamdayschool.org/about/ | https://chathamdayschool.org/signature-programs/ | https://chathamdayschool.org/auxiliary-programs/ | https://chathamdayschool.org/dining-program/ | https://chathamdayschool.org/about/our-people/
