Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
NV-0001,NV-0001-A,Indoor 5 Soccer,,Las Vegas,,NV,https://indoor5.com/,indoor5.com,Indoor,Confirmed Indoor,No,1,https://indoor5.com/ | https://indoor5.com/fuzion5athletics/ | https://indoor5.com/field-and-court-rentals/ | https://indoor5.com/van-rentals/ | https://indoor5.com/membership/ | https://indoor5.com/contact-us/
NV-0002,NV-0002-A,Las Vegas Country Club,3000 Joe W. Brown Drive,Las Vegas,89109,NV,https://lasvegascc.clubhouseonline-e3.net/,lasvegascc.com,Indoor,Confirmed Indoor,No,1,https://lasvegascc.clubhouseonline-e3.net/ | https://lasvegascc.clubhouseonline-e3.net/Membership | https://lasvegascc.clubhouseonline-e3.net/Contact_Us | https://lasvegascc.clubhouseonline-e3.net/membertennisathletics | https://lasvegascc.clubhouseonline-e3.net/membertennisathletics/membersfitness | https://lasvegascc.clubhouseonline-e3.net/membertennisathletics/membersfitness/membersmeetthedirector | https://lasvegascc.clubhouseonline-e3.net/membertennisathletics/memberstennis
NV-0003,NV-0003-A,NewsBreak,,Las Vegas,,NV,https://www.newsbreak.com/,newsbreak.com,Indoor,Confirmed Indoor,No,1,https://www.newsbreak.com/ | https://www.newsbreak.com/about | https://www.newsbreak.com/contact | https://www.newsbreak.com/upi-news-510013/4820740612216-maryland-man-follows-a-gut-feeling-to-100-000-lottery-prize | https://www.newsbreak.com/the-associated-press-510077/4819651962109-trump-announces-staff-secretary-will-scharf-will-be-his-new-white-house-counsel | https://www.newsbreak.com/fox-news-510075/4819738607642-trump-doubles-down-on-reflecting-pool-vandalism-allegations-cites-new-witness-account
NV-0004,NV-0004-A,Sports West Athletic Club,1987 Address 1575 S Virginia St,Reno,89502,NV,https://sportswestathleticclub.com/,sportswestathleticclub.com,Indoor,Confirmed Indoor,Yes,3,https://sportswestathleticclub.com/ | https://sportswestathleticclub.com/membership/ | https://sportswestathleticclub.com/contact-us/ | https://sportswestathleticclub.com/membership-special-offer/ | https://sportswestathleticclub.com/classes/ | https://sportswestathleticclub.com/blogs/all-inclusive-gym-membership-reno/
NV-0004,NV-0004-B,Sports West Athletic Club,1575 S. Virginia St,Reno,,NV,https://sportswestathleticclub.com/,sportswestathleticclub.com,Indoor,Confirmed Indoor,Yes,3,https://sportswestathleticclub.com/ | https://sportswestathleticclub.com/membership/ | https://sportswestathleticclub.com/contact-us/ | https://sportswestathleticclub.com/membership-special-offer/ | https://sportswestathleticclub.com/classes/ | https://sportswestathleticclub.com/blogs/all-inclusive-gym-membership-reno/
NV-0004,NV-0004-C,Sports West Athletic Club,1575 S. Virginia St.,Reno,,NV,https://sportswestathleticclub.com/,sportswestathleticclub.com,Indoor,Confirmed Indoor,Yes,3,https://sportswestathleticclub.com/ | https://sportswestathleticclub.com/membership/ | https://sportswestathleticclub.com/contact-us/ | https://sportswestathleticclub.com/membership-special-offer/ | https://sportswestathleticclub.com/classes/ | https://sportswestathleticclub.com/blogs/all-inclusive-gym-membership-reno/
NV-0005,NV-0005-A,Sunward Steel Buildings,,Las Vegas,,NV,https://sunwardsteel.com/,sunwardsteel.com,Indoor,Confirmed Indoor,No,1,https://sunwardsteel.com/ | https://sunwardsteel.com/colorado/golden/spyderco-manufacturing-facility/ | https://sunwardsteel.com/colorado/parker/indoor-tennis-facility/ | https://sunwardsteel.com/new-hampshire/seabrook/prefabricated-steel-cold-storage-facility/ | https://sunwardsteel.com/canada/alberta/whitecourt/shop-and-commercial-office/ | https://sunwardsteel.com/canada/alberta/whitecourt/steel-shop-building-kit/ | https://sunwardsteel.com/connecticut/orange/prefabricated-metal-shop-and-shipping-facility/
NV-0006,NV-0006-A,Vegas Volley,,Las Vegas,,NV,https://vegasvolley.com/,vegasvolley.com,Indoor,Confirmed Indoor,No,1,https://vegasvolley.com/ | https://vegasvolley.com/contact-us/ | https://vegasvolley.com/about/ | https://vegasvolley.com/about/about-coach-adam/ | https://vegasvolley.com/about-coach-brie/ | https://vegasvolley.com/about-coach-paul/
NV-0007,NV-0007-A,"Sun City Summerlin Community Association, Inc.",,Las Vegas,,NV,https://suncitysummerlin.com/,suncitysummerlin.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://suncitysummerlin.com/ | https://suncitysummerlin.com/Explore/About_Us | https://suncitysummerlin.com/Administration/Employment | https://suncitysummerlin.com/Contact_Us/Contact_Form | https://suncitysummerlin.com/Contact_Us/Board_of_Directors | https://suncitysummerlin.com/Contact_Us/Department_Directors
NV-0008,NV-0008-A,Top Flight Volleyball Academy,530 E. Pamalyn Ave,Las Vegas,89119,NV,https://topflightvegasvolleyball.com/,topflightvegasvolleyball.com,Indoor and outdoor,Indoor and Outdoor,Yes,3,https://topflightvegasvolleyball.com/ | https://topflightvegasvolleyball.com/programs | https://topflightvegasvolleyball.com/programs/coming-this-year | https://topflightvegasvolleyball.com/programs/sand | https://topflightvegasvolleyball.com/about | https://topflightvegasvolleyball.com/contact | https://topflightvegasvolleyball.com/teams/girls
NV-0008,NV-0008-B,Top Flight Volleyball Academy,2601 E. Sunset Rd,Las Vegas,89120,NV,https://topflightvegasvolleyball.com/,topflightvegasvolleyball.com,Indoor and outdoor,Indoor and Outdoor,Yes,3,https://topflightvegasvolleyball.com/ | https://topflightvegasvolleyball.com/programs | https://topflightvegasvolleyball.com/programs/coming-this-year | https://topflightvegasvolleyball.com/programs/sand | https://topflightvegasvolleyball.com/about | https://topflightvegasvolleyball.com/contact | https://topflightvegasvolleyball.com/teams/girls
