Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
NY-0001,NY-0001-A,12th Rock,,Middletown,,NY,https://12throck.org/,12throck.org,Indoor,Confirmed Indoor,No,1,https://12throck.org/ | https://12throck.org/who-we-are/ | https://12throck.org/programs/ | https://12throck.org/contact-us/
NY-0002,NY-0002-A,14th Street Y,,New York,,NY,https://www.14streety.org/,14streety.org,Indoor,Confirmed Indoor,No,1,https://www.14streety.org/ | https://www.14streety.org/about-us/ | https://www.14streety.org/about-us/membership/ | https://www.14streety.org/about-us/contact-us/ | https://www.14streety.org/about-us/hours-location/ | https://www.14streety.org/about-us/membership/summer-membership/ | https://www.14streety.org/staff/
NY-0003,NY-0003-A,3TC,,Rochester,,NY,https://www.roc3tc.com/,roc3tc.com,Indoor,Confirmed Indoor,No,1,https://www.roc3tc.com/ | https://www.roc3tc.com/mission
NY-0004,NY-0004-A,40 Love Lifestyle,,Manhasset,,NY,https://www.40lovelifestyle.com/,40lovelifestyle.com,Indoor,Confirmed Indoor,No,1,https://www.40lovelifestyle.com/ | https://www.40lovelifestyle.com/collections/courtlife | https://www.40lovelifestyle.com/pages/contact | https://www.40lovelifestyle.com/pages/about-us
NY-0005,NY-0005-A,516 Elite Volleyball,,,,NY,https://www.516elitevolleyball.com/,516elitevolleyball.com,Indoor,Confirmed Indoor,No,1,https://www.516elitevolleyball.com/ | https://www.516elitevolleyball.com/about-us | https://www.516elitevolleyball.com/contact
NY-0006,NY-0006-A,55+ Life,,Manhattan,,NY,https://55pluslife.com/,55pluslife.com,Indoor,Confirmed Indoor,No,1,https://55pluslife.com/ | https://55pluslife.com/who-we-are/ | https://55pluslife.com/who-we-are/contributing-writers/ | https://55pluslife.com/contact/ | https://55pluslife.com/meet-the-new-old-pet-in-the-family/ | https://55pluslife.com/menopause-memory-and-the-truth-about-brain-fog/
NY-0007,NY-0007-A,914INC.,,Rye,,NY,https://914inc.com/,914inc.com,Indoor,Confirmed Indoor,No,1,https://914inc.com/ | https://914inc.com/about/ | https://914inc.com/contact/ | https://914inc.com/events/excellence/
NY-0008,NY-0008-A,92NY,,New York,,NY,https://www.92ny.org/,92ny.org,Indoor,Confirmed Indoor,No,1,https://www.92ny.org/ | https://www.92ny.org/children-family/afterschool-program | https://www.92ny.org/community/center-for-engaged-aging/the-himan-brown-program | https://www.92ny.org/community/center-for-engaged-aging/program-for-cognitive-strength-and-ability | https://www.92ny.org/community/health-fitness/membership | https://www.92ny.org/community/health-fitness/about | https://www.92ny.org/whats-on/classes/dance-therapy-program?page=2
NY-0009,NY-0009-A,A-Game Sports,856 Main St,New Rochelle,10801,NY,https://agamesports.net/,agamesports.net,Indoor,Confirmed Indoor,No,1,https://agamesports.net/ | https://agamesports.net/school-programs/ | https://agamesports.net/school-programs/little-learners/ | https://agamesports.net/school-programs/a-game-academics/ | https://agamesports.net/school-programs/sat-prep-program/ | https://agamesports.net/little-athletes-academy-programs/
NY-0010,NY-0010-A,"ABC Sports & Fitness In Latham, NY",0705 3 Johnson Rd,Latham,12110,NY,https://www.abcsportsandfitness.com/,abcsportsandfitness.com,Indoor,Confirmed Indoor,Yes,2,https://www.abcsportsandfitness.com/ | https://www.abcsportsandfitness.com/memberships.php | https://www.abcsportsandfitness.com/contact.php | https://www.abcsportsandfitness.com/about.php
