Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
OH-0001,OH-0001-A,3N Sports,,Columbus,,OH,https://www.3nsports.com/,3nsports.com,Indoor,Confirmed Indoor,No,1,https://www.3nsports.com/ | https://www.3nsports.com/programs/ | https://www.3nsports.com/programs/basketball-training/ | https://www.3nsports.com/programs/weight-speed-and-agility-training/ | https://www.3nsports.com/shoot-a-way-rentals/ | https://www.3nsports.com/staff/ | https://www.3nsports.com/contact-us/
OH-0002,OH-0002-A,614 Futsal,4205 Clime Rd,Columbus,43228,OH,https://www.614futsal.com/,614futsal.com,Indoor,Confirmed Indoor,Yes,2,https://www.614futsal.com/ | https://www.614futsal.com/about
OH-0002,OH-0002-B,614 Futsal,5101 Swickard Woods Blvd,New Albany,43054,OH,https://www.614futsal.com/,614futsal.com,Indoor,Confirmed Indoor,Yes,2,https://www.614futsal.com/ | https://www.614futsal.com/about
OH-0003,OH-0003-A,AiR CiTY CHiX,1321 Research Park Dr.,Dayton,45432,OH,https://aircitychicks.com/,aircitychicks.com,Indoor,Confirmed Indoor,No,1,https://aircitychicks.com/ | http://www.aircitychicks.com/programs.htm | http://www.aircitychicks.com/staff.htm | https://aircitychicks.com/programs.htm | https://aircitychicks.com/staff.htm | https://www.aircitychicks.com/programs.htm
OH-0004,OH-0004-A,Akron Area YMCA Home Page,,Akron,,OH,https://www.akronymca.org/,akronymca.org,Indoor,Confirmed Indoor,No,1,https://www.akronymca.org/ | https://www.akronymca.org/programs/adult-fitness | https://www.akronymca.org/programs/adult-fitness/group-exercises-classes | https://www.akronymca.org/programs/adult-fitness/active-older-adults | https://www.akronymca.org/programs/wellness | https://www.akronymca.org/programs/wellness/weight-loss-program
OH-0005,OH-0005-A,All In One Sports Training Complex,,Columbus,,OH,https://allinon3sports.com/,allinon3sports.com,Indoor,Confirmed Indoor,No,1,https://allinon3sports.com/
OH-0006,OH-0006-A,"American Barbell Athletic Club | Gym, Training & Fitness in Canal Winchester, OH",,Canal Winchester,,OH,https://www.americanbarbellohio.com/,americanbarbellohio.com,Indoor,Confirmed Indoor,No,1,https://www.americanbarbellohio.com/ | https://www.americanbarbellohio.com/memberships-hours | https://www.americanbarbellohio.com/court-rentals | https://www.americanbarbellohio.com/contact | https://www.americanbarbellohio.com/home | https://www.americanbarbellohio.com/family-memberships
OH-0007,OH-0007-A,AMP Field House,,Oakwood Village,,OH,https://www.ampfieldhouse.com/,ampfieldhouse.com,Indoor,Confirmed Indoor,No,1,https://www.ampfieldhouse.com/
OH-0008,OH-0008-A,Anthony Wayne Local School District,9565 Bucher Road,Whitehouse,,OH,https://www.anthonywayneschools.org/,anthonywayneschools.org,Indoor,Confirmed Indoor,No,1,https://www.anthonywayneschools.org/ | https://www.anthonywayneschools.org/Contact | https://www.anthonywayneschools.org/About | https://www.anthonywayneschools.org/FacilitiesMasterPlan | https://www.anthonywayneschools.org/PreschoolProgram | https://www.anthonywayneschools.org/FacilitiesUseRequests
OH-0009,OH-0009-A,Ashland University Home,401 College Avenue,Ashland,44805,OH,https://www.ashland.edu/,ashland.edu,Indoor,Confirmed Indoor,No,1,https://www.ashland.edu/ | https://www.ashland.edu/academic-programs | https://www.ashland.edu/pre-professional-programs | https://www.ashland.edu/faculty-directory | https://www.ashland.edu/athletics | https://www.ashland.edu/about/university-calendars | https://www.ashland.edu/graduate-programs-tuition-fees
OH-0010,OH-0010-A,Aspire Sports,,Columbus,,OH,https://aspiresportsohio.com/,aspiresportsohio.com,Indoor,Confirmed Indoor,No,1,https://aspiresportsohio.com/ | https://aspiresportsohio.com/programs | https://aspiresportsohio.com/about | https://aspiresportsohio.com/youth/leagues | https://aspiresportsohio.com/youth | https://aspiresportsohio.com/adult
