Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
OR-0001,OR-0001-A,Adrian Olmstead,,Sherwood,,OR,https://adrianolmstead.com/,adrianolmstead.com,Indoor,Confirmed Indoor,No,1,https://adrianolmstead.com/ | https://adrianolmstead.com/about/lake-oswego-realtor-adrian-olmstead/ | https://adrianolmstead.com/about/testimonials/ | https://adrianolmstead.com/contact/
OR-0002,OR-0002-A,Allied Products | Athletic Sports Flooring | Commercial Rubber Flooring | Racquetball Court Construction | Squash Courts,,Sherwood,,OR,https://alliedproductsllc.com/,alliedproductsllc.com,Indoor,Confirmed Indoor,No,1,https://alliedproductsllc.com/ | https://alliedproductsllc.com/about/ | https://alliedproductsllc.com/racquetball-court-construction/ | https://alliedproductsllc.com/squash-court-construction/ | https://alliedproductsllc.com/racquetball-court-construction/pickleball-court/ | https://alliedproductsllc.com/led-court-lights/
OR-0003,OR-0003-A,Baker City Church of the Nazarene,,Baker City,,OR,https://bakernaz.com/,bakernaz.com,Indoor,Confirmed Indoor,No,1,https://bakernaz.com/ | https://bakernaz.com/welcome/contact-us/ | https://bakernaz.com/staff/ | https://bakernaz.com/who-we-are/ | https://bakernaz.com/facilities/
OR-0004,OR-0004-A,Basketball Shooting Machine,,Milwaukie,,OR,https://www.drdishbasketball.com/,drdishbasketball.com,Indoor,Confirmed Indoor,No,1,https://www.drdishbasketball.com/ | https://www.drdishbasketball.com/upgrade | https://www.drdishbasketball.com/home/membership | https://www.drdishbasketball.com/facilities | https://www.drdishbasketball.com/facilities/products/fclty | https://www.drdishbasketball.com/facilities/products/fclty1 | https://www.drdishbasketball.com/facilities/featured
OR-0005,OR-0005-A,Beaverton Soccer / LIL'BEAVERS SOCCER ACADEMY is more than just soccer alone,,Beaverton,,OR,https://www.beavertonsoccer.com/,beavertonsoccer.com,Indoor,Confirmed Indoor,No,1,https://www.beavertonsoccer.com/ | https://www.beavertonsoccer.com/lil-beavers-soccer-acadamy/ | https://www.beavertonsoccer.com/about-beaverton-soccer/
OR-0006,OR-0006-A,Beaverton Sports Club,,Portland,,OR,https://www.beavertonsportsclub.com/,beavertonsportsclub.com,Indoor,Confirmed Indoor,No,1,https://www.beavertonsportsclub.com/ | https://www.beavertonsportsclub.com/membership.html
OR-0007,OR-0007-A,Best Local Businesses and Services You Can Trust,,Portland,,OR,https://www.bestprosintown.com/,bestprosintown.com,Indoor,Confirmed Indoor,No,1,https://www.bestprosintown.com/ | https://www.bestprosintown.com/contact.php | https://www.bestprosintown.com/about.php
OR-0008,OR-0008-A,BGCA,1215 SE Hill Street,Albany,97322,OR,https://bgc-albany.org/,bgc-albany.org,Indoor,Confirmed Indoor,Yes,2,https://bgc-albany.org/ | https://bgc-albany.org/leadership/ | https://bgc-albany.org/board-leadership/ | https://bgc-albany.org/contact-us/ | https://bgc-albany.org/program/ | https://bgc-albany.org/registration/ | https://bgc-albany.org/summer-program/
OR-0008,OR-0008-B,BGCA,425 SE Columbus Street,Albany,97321,OR,https://bgc-albany.org/,bgc-albany.org,Indoor,Confirmed Indoor,Yes,2,https://bgc-albany.org/ | https://bgc-albany.org/leadership/ | https://bgc-albany.org/board-leadership/ | https://bgc-albany.org/contact-us/ | https://bgc-albany.org/program/ | https://bgc-albany.org/registration/ | https://bgc-albany.org/summer-program/
OR-0009,OR-0009-A,Bruins Men's Basketball Camps,,Newberg,,OR,https://mensbasketball.bruincamps.com/,mensbasketball.bruincamps.com,Indoor,Confirmed Indoor,No,1,https://mensbasketball.bruincamps.com/ | https://mensbasketball.bruincamps.com/facilities-and-directions.cfm | https://mensbasketball.bruincamps.com/contact-us.cfm
