Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
PA-0001,PA-0001-A,- Home,,Horsham,,PA,https://portellisportsplex.weebly.com/,portellisportsplex.weebly.com,Indoor,Confirmed Indoor,No,1,https://portellisportsplex.weebly.com/ | https://portellisportsplex.weebly.com/about-facilities.html
PA-0002,PA-0002-A,23 MBC,,Schuylkill Haven,,PA,https://www.23meadowbrook.org/,23meadowbrook.org,Indoor,Confirmed Indoor,No,1,https://www.23meadowbrook.org/
PA-0003,PA-0003-A,411 - America,,Philadelphia,,PA,https://411.info/,411.info,Indoor,Confirmed Indoor,No,1,https://411.info/ | https://411.info/about | https://411.info/contact | https://411.info/business-directory
PA-0004,PA-0004-A,Abington Heights High School,222 Noble Road,Clarks Summit,18411,PA,https://ahsdathletics.org/,ahsdathletics.org,Indoor,Confirmed Indoor,No,1,https://ahsdathletics.org/ | https://ahsdathletics.org/main/otherad | https://ahsdathletics.org/main/contact | https://ahsdathletics.org/main | https://ahsdathletics.org/main/adnews/id/58403583
PA-0005,PA-0005-A,Academy of Notre Dame de Namur,,,,PA,https://www.ndapa.org/,ndapa.org,Indoor,Confirmed Indoor,No,1,https://www.ndapa.org/ | https://www.ndapa.org/academics/scholar-programs | https://www.ndapa.org/athletics | https://www.ndapa.org/athletics/athletics-calendar | https://www.ndapa.org/athletics/teams-schedules-scores | https://www.ndapa.org/athletics/athletics-news | https://www.ndapa.org/athletics/college-recruits
PA-0006,PA-0006-A,Academy of the New Church Secondary Schools,00 PM 1200 River Rd,Conshohocken,19428,PA,https://www.ancss.org/,ancss.org,Indoor,Confirmed Indoor,No,1,https://www.ancss.org/ | https://www.ancss.org/alumni/update-contact-information | https://www.ancss.org/athletics/athletics-calendar | https://www.ancss.org/about/about-anc | https://www.ancss.org/about/about-anc/girls-school | https://www.ancss.org/about/about-anc/boys-school | https://www.ancss.org/about/about-anc/quick-facts
PA-0007,PA-0007-A,Advantage Tennis Center,,Norristown,,PA,https://advantagetenniscenter.com/,advantagetenniscenter.com,Indoor,Confirmed Indoor,No,1,https://advantagetenniscenter.com/ | https://advantagetenniscenter.com/about/ | https://advantagetenniscenter.com/tennis-membership/ | https://advantagetenniscenter.com/contact-us/
PA-0008,PA-0008-A,Alpha Tennis and Fitness,,Pittsburgh,,PA,https://www.alphatennis.net/alpha-tennis/,alphatennis.net,Indoor,Confirmed Indoor,No,1,https://www.alphatennis.net/alpha-tennis/ | https://www.alphatennis.net/pittsburgh-tennis-club-fitness-center-alpha-tennis-harmarville/contact-alpha-tennis-pittsburgh/employment/ | https://www.alphatennis.net/pittsburgh-tennis-club-fitness-center-alpha-tennis-harmarville/tennis-fitness-memberships-pittsburgh/fitness-center-pittsburgh/
PA-0009,PA-0009-A,Alpha Tennis Club,,Harmar,,PA,https://www.alphatennisclub.com/landingpage/alpha-home-page/,alphatennisclub.com,Indoor,Confirmed Indoor,No,1,https://www.alphatennisclub.com/landingpage/alpha-home-page/ | https://www.alphatennisclub.com/membership/ | https://www.alphatennisclub.com/contact-us/ | https://www.alphatennisclub.com/about-us/privacy-policy/
PA-0010,PA-0010-A,AMAZING PROGRAMS |,,Harrisburg,,PA,https://www.amazingsportsactivity.com/,amazingsportsactivity.com,Indoor,Confirmed Indoor,No,1,https://www.amazingsportsactivity.com/ | https://www.amazingsportsactivity.com/staff/ | https://www.amazingsportsactivity.com/amazing-party-rentals/ | https://www.amazingsportsactivity.com/contact-us/ | https://www.amazingsportsactivity.com/school-year-camp-days/
