Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
SC-0001,SC-0001-A,864 Select Baseball,,Williamston,,SC,https://www.864selectbaseball.com/,864selectbaseball.com,Indoor,Confirmed Indoor,No,1,https://www.864selectbaseball.com/ | https://www.864selectbaseball.com/about/about-us/16951 | https://www.864selectbaseball.com/about/photos/73621 | https://www.864selectbaseball.com/about/meet-our-staff/77232 | https://www.864selectbaseball.com/program/13u-15u-864-select-baseball/17844 | https://www.864selectbaseball.com/program/864-select-showcase-baseball/17845
SC-0002,SC-0002-A,Accelerate Bball,420 Zimmer Rd,Fort Mill,29707,SC,https://www.acceleratebasketball.com/,acceleratebasketball.com,Indoor,Confirmed Indoor,No,1,https://www.acceleratebasketball.com/ | https://www.acceleratebasketball.com/our-team | https://www.acceleratebasketball.com/about-us
SC-0003,SC-0003-A,Amigos Indoor Soccer,,Greer,,SC,https://www.amigosindoorsoccer.com/,amigosindoorsoccer.com,Indoor,Confirmed Indoor,No,1,https://www.amigosindoorsoccer.com/
SC-0004,SC-0004-A,Arkansas Razorbacks,,Columbia,,SC,https://arkansasrazorbacks.com/,arkansasrazorbacks.com,Indoor,Confirmed Indoor,No,1,https://arkansasrazorbacks.com/ | https://arkansasrazorbacks.com/staff-directory/ | https://arkansasrazorbacks.com/athletics-2/strength-conditioning/ | https://arkansasrazorbacks.com/facilities/ | https://arkansasrazorbacks.com/rentals/ | https://arkansasrazorbacks.com/facility/fayetteville/
SC-0005,SC-0005-A,"Best Bounce House Rentals in Greenville, SC",,Greenville,,SC,https://www.partytogoevents.com/,partytogoevents.com,Indoor,Confirmed Indoor,No,1,https://www.partytogoevents.com/ | https://www.partytogoevents.com/category/ | https://www.partytogoevents.com/contact-us/ | https://www.partytogoevents.com/category/bounce-house-rentals/ | https://www.partytogoevents.com/category/water-slide-rentals/ | https://www.partytogoevents.com/category/dry-water-slide-rentals/ | https://www.partytogoevents.com/bounce-house-rentals-greenville-sc/
SC-0006,SC-0006-A,BRCC Seneca,,Seneca,,SC,https://www.brccseneca.org/,brccseneca.org,Indoor,Confirmed Indoor,No,1,https://www.brccseneca.org/
SC-0007,SC-0007-A,Cane Bay Family YMCA,,Summerville,,SC,https://ymcagc.org/,ymcagc.org,Indoor,Confirmed Indoor,No,1,https://ymcagc.org/ | https://ymcagc.org/core/ | https://ymcagc.org/cane-bay/ | https://ymcagc.org/about-us/ | https://ymcagc.org/contact-us/
SC-0008,SC-0008-A,Carolina Futsal Development Center,,Rock Hill,,SC,https://www.registration.carolinafutsalcenter.com/page/home,registration.carolinafutsalcenter.com,Indoor,Confirmed Indoor,No,1,https://www.registration.carolinafutsalcenter.com/page/home | https://www.gomotionapp.com/team/sccfdc/page/system/contactus
SC-0009,SC-0009-A,Charleston Southern University,,Charleston,,SC,https://csusports.com/,csusports.com,Indoor,Confirmed Indoor,No,1,https://csusports.com/ | https://csusports.com/staff-directory | https://csusports.com/facilities | https://csusports.com/sports/2019/5/10/fundraising-contact-us-staff.aspx | https://csusports.com/documents/2026/5/21/Buc_Club_Brochure_2026.pdf
SC-0010,SC-0010-A,Charlotte Independence Soccer Club,28031 SOUTH 936 Market Street,Fort Mill,29708,SC,https://www.independencesoccer.club/,independencesoccer.club,Indoor,Confirmed Indoor,Yes,2,https://www.independencesoccer.club/ | https://www.independencesoccer.club/girls-programs | https://www.independencesoccer.club/boys-programs | https://www.independencesoccer.club/about | https://www.independencesoccer.club/staff-page | https://www.independencesoccer.club/state-program
SC-0010,SC-0010-B,Charlotte Independence Soccer Club,2351 New Gray Rock Rd,Tega Cay,29708,SC,https://www.independencesoccer.club/,independencesoccer.club,Indoor,Confirmed Indoor,Yes,2,https://www.independencesoccer.club/ | https://www.independencesoccer.club/girls-programs | https://www.independencesoccer.club/boys-programs | https://www.independencesoccer.club/about | https://www.independencesoccer.club/staff-page | https://www.independencesoccer.club/state-program
