Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
TX-0001,TX-0001-A,| Home,,,,TX,https://acesintexas.playbookapi.com/programs/register/,acesintexas.com,Indoor,Confirmed Indoor,No,1,https://acesintexas.playbookapi.com/programs/register/
TX-0002,TX-0002-A,24 Hour Pickle,,,,TX,https://24hourpickle.com/,24hourpickle.com,Indoor,Confirmed Indoor,No,1,https://24hourpickle.com/ | https://24hourpickle.com/memberships | https://24hourpickle.com/contact
TX-0003,TX-0003-A,360 Elite Arena Of Arlington,,Arlington,,TX,https://360elitearenaofarlington.com/,360elitearenaofarlington.com,Indoor,Confirmed Indoor,No,1,https://360elitearenaofarlington.com/ | https://360elitearenaofarlington.com/about-us/ | https://360elitearenaofarlington.com/sports-programs/ | https://360elitearenaofarlington.com/court-rentals/ | https://360elitearenaofarlington.com/cage-rentals/ | https://360elitearenaofarlington.com/arena-memberships/
TX-0004,TX-0004-A,512 Futsal,,Cedar Park,,TX,https://www.512futsal.com/,512futsal.com,Indoor,Confirmed Indoor,No,1,https://www.512futsal.com/ | https://www.512futsal.com/about-1 | https://www.512futsal.com/staff-1
TX-0005,TX-0005-A,Absolute Volleyball Academy,,Webster,,TX,https://avatexas.com/,avatexas.com,Indoor,Confirmed Indoor,No,1,https://avatexas.com/ | https://avatexas.com/avators-beach/ | https://avatexas.com/absolute-beach-info/ | https://avatexas.com/beach-volleyball/adultbeachleagues/ | https://avatexas.com/youth-program-avators/ | https://avatexas.com/adult-programs-2/
TX-0006,TX-0006-A,Ace Pickleball Club,,Frisco,,TX,https://www.acepickleballclub.com/,acepickleballclub.com,Indoor,Confirmed Indoor,No,1,https://www.acepickleballclub.com/ | https://www.acepickleballclub.com/championships | https://www.acepickleballclub.com/contact
TX-0007,TX-0007-A,Active Arena,,Frisco,,TX,https://activearena.com/,activearena.com,Indoor,Confirmed Indoor,No,1,https://activearena.com/ | https://activearena.com/contact/
TX-0008,TX-0008-A,Advantage Indoor,,Houston,,TX,https://www.advantageindoor.net/,advantageindoor.net,Indoor,Confirmed Indoor,No,1,https://www.advantageindoor.net/ | https://www.advantageindoor.net/about | https://www.advantageindoor.net/coaches | https://www.advantageindoor.net/junior-programs | https://www.advantageindoor.net/adin-junior-program-progression | https://www.advantageindoor.net/memberships | https://www.advantageindoor.net/membership-form
TX-0009,TX-0009-A,Alamo City All-Stars Sportsplex,,Universal City,,TX,https://alamocityallstars.com/,alamocityallstars.com,Indoor,Confirmed Indoor,No,1,https://alamocityallstars.com/ | https://alamocityallstars.com/about/ | https://alamocityallstars.com/venue-rentals/ | https://alamocityallstars.com/wp-content/uploads/2021/09/Facility-Rules_001.png | https://alamocityallstars.com/after-school-program/ | https://alamocityallstars.com/programs/ | https://alamocityallstars.com/summer-camp-program/
TX-0010,TX-0010-A,Alamodome,,San Antonio,,TX,https://www.alamodome.com/,alamodome.com,Indoor,Confirmed Indoor,No,1,https://www.alamodome.com/ | https://www.alamodome.com/plan-your-visit/facility-rules-security | https://www.alamodome.com/about-us/info-faq | https://www.alamodome.com/about-us/contact-us | https://www.alamodome.com/about-us/employment-opportunities | https://www.alamodome.com/about-us/helpful-links
TX-0011,TX-0011-A,Allegiant Volleyball Club,,Greenville,,TX,https://www.allegiantvolleyballclub.com/,allegiantvolleyballclub.com,Indoor,Confirmed Indoor,No,1,https://www.allegiantvolleyballclub.com/ | https://www.allegiantvolleyballclub.com/page/show/4297074-about-us | https://www.allegiantvolleyballclub.com/page/show/4300850-programs
TX-0012,TX-0012-A,Aloha Ball Club,,Dallas,,TX,https://www.alohaballclub.com/,alohaballclub.com,Indoor,Confirmed Indoor,No,1,https://www.alohaballclub.com/ | https://www.alohaballclub.com/staff | https://www.alohaballclub.com/contact
TX-0013,TX-0013-A,AmeriSports,,Rockwall,,TX,https://www.amerisports.net/,amerisports.net,Indoor,Confirmed Indoor,No,1,https://www.amerisports.net/ | https://www.amerisports.net/league-membership | https://www.amerisports.net/membership-help | https://www.amerisports.net/k-1-basketball-development-program | https://www.amerisports.net/sponsor-program | https://www.amerisports.net/court-rental | https://www.amerisports.net/contact-us
TX-0014,TX-0014-A,Aspen Tennis Academy,,Fulshear,,TX,https://www.aspentennisacademy.com/,aspentennisacademy.com,Indoor,Confirmed Indoor,No,1,https://www.aspentennisacademy.com/ | https://www.aspentennisacademy.com/quickstart | https://www.aspentennisacademy.com/intermediate-and-competitive | https://www.aspentennisacademy.com/advanced-and-elite | https://www.aspentennisacademy.com/womens-program | https://www.aspentennisacademy.com/mens-program | https://www.aspentennisacademy.com/contact
TX-0015,TX-0015-A,ASYMCA Killeen,,Killeen,,TX,https://killeen.asymca.org/,asymca.org,Indoor,Confirmed Indoor,No,1,https://killeen.asymca.org/ | https://www.canva.com/design/DAHNlRVxCL4/rUy4rEs8rFZsOEWwBrQUDA/view?utm_content=DAHNlRVxCL4&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h4de94dfc71 | https://killeen.asymca.org/about-us/ | https://killeen.asymca.org/membership/ | https://killeen.asymca.org/programs/ | https://killeen.asymca.org/military-programs/ | https://killeen.asymca.org/military-programs/five-star-food-market/
TX-0016,TX-0016-A,Athletics,907 N. Arroyo Blvd.,Los Fresnos,78566,TX,https://athletics.lfcisd.net/,athletics.lfcisd.net,Indoor,Confirmed Indoor,No,1,https://athletics.lfcisd.net/ | https://athletics.lfcisd.net/apps/contact/
TX-0017,TX-0017-A,ATX Beach,11000 Middle Fiskville Rd,Austin,78753,TX,https://atxbeach.com/,atxbeach.com,Indoor,Confirmed Indoor,No,1,https://atxbeach.com/ | https://atxbeach.com/book-a-court/ | https://atxbeach.com/sand-play/ | https://atxbeach.com/sand-train/ | https://atxbeach.com/sand-events/ | https://atxbeach.com/sand-juniors/
TX-0018,TX-0018-A,Austin Futsal,,Leander,,TX,https://www.austinfutsalleague.com/,austinfutsalleague.com,Indoor,Confirmed Indoor,No,1,https://www.austinfutsalleague.com/ | https://www.austinfutsalleague.com/about | https://www.austinfutsalleague.com/facility
TX-0019,TX-0019-A,Austin Juniors Volleyball,,Austin,,TX,https://austinjuniors.com/,austinjuniors.com,Indoor,Confirmed Indoor,No,1,https://austinjuniors.com/ | https://austinjuniors.com/ajv/girls/girls-coaches/ | https://austinjuniors.com/ajv/about/coaches/coach-application/ | https://austinjuniors.com/ajv/boys/boys-coaches-2024/ | https://austinjuniors.com/ajv/sand/programs/ | https://austinjuniors.com/ajv/sand/programs/summer-sand-club/ | https://austinjuniors.com/ajv/sand/programs/national-team-info/
TX-0020,TX-0020-A,Austin Sports & Social Club,,,,TX,https://austinssc.com/,austinssc.com,Indoor,Confirmed Indoor,No,1,https://austinssc.com/ | https://austinssc.com/loveyourjob | https://austinssc.com/help
TX-0021,TX-0021-A,Austin Sports Academy,275 Lotus Circle,Austin,78737,TX,https://www.austinsportsacademy.com/,austinsportsacademy.com,Indoor,Confirmed Indoor,Yes,2,https://www.austinsportsacademy.com/ | https://www.austinsportsacademy.com/after-school-programs | https://www.austinsportsacademy.com/rentals | https://www.austinsportsacademy.com/about-3 | https://www.austinsportsacademy.com/join
TX-0021,TX-0021-B,Austin Sports Academy,275 Lotus Cir,Austin,78737,TX,https://www.austinsportsacademy.com/,austinsportsacademy.com,Indoor,Confirmed Indoor,Yes,2,https://www.austinsportsacademy.com/ | https://www.austinsportsacademy.com/after-school-programs | https://www.austinsportsacademy.com/rentals | https://www.austinsportsacademy.com/about-3 | https://www.austinsportsacademy.com/join
