Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
UT-0001,UT-0001-A,Adaptive Arena,,Bluffdale,,UT,https://adaptivearena.org/,adaptivearena.org,Indoor,Confirmed Indoor,No,1,https://adaptivearena.org/ | https://adaptivearena.org/contact-us/ | https://adaptivearena.org/about/ | https://adaptivearena.org/facility-rentals/
UT-0002,UT-0002-A,Alpha Basketball Academy,,Orem,,UT,https://www.alphaballacademy.com/,alphaballacademy.com,Indoor,Confirmed Indoor,No,1,https://www.alphaballacademy.com/ | https://www.alphaballacademy.com/meettheteam | https://www.alphaballacademy.com/about | https://www.alphaballacademy.com/contact | https://www.alphaballacademy.com/abafacility | https://www.alphaballacademy.com/book-our-facility
UT-0003,UT-0003-A,Basketball Shooting Machine,,Woods Cross,,UT,https://www.drdishbasketball.com/,drdishbasketball.com,Indoor,Confirmed Indoor,No,1,https://www.drdishbasketball.com/ | https://www.drdishbasketball.com/upgrade | https://www.drdishbasketball.com/home/membership | https://www.drdishbasketball.com/facilities | https://www.drdishbasketball.com/facilities/products/fclty | https://www.drdishbasketball.com/facilities/products/fclty1 | https://www.drdishbasketball.com/facilities/featured
UT-0004,UT-0004-A,Beach Elite,,Lehi,,UT,https://www.beach-elite.com/,beach-elite.com,Indoor,Confirmed Indoor,No,1,https://www.beach-elite.com/ | https://www.beach-elite.com/coachingstaff | https://www.beach-elite.com/contact-us | https://www.beach-elite.com/whoweare
UT-0005,UT-0005-A,Beach House,,,,UT,https://www.beachhouseut.com/,beachhouseut.com,Indoor,Confirmed Indoor,No,1,https://www.beachhouseut.com/ | https://www.beachhouseut.com/programdetails
UT-0006,UT-0006-A,Beehive Sport and Social Club,,Salt Lake City,,UT,https://www.beehivesports.com/,beehivesports.com,Indoor,Confirmed Indoor,No,1,https://www.beehivesports.com/ | https://www.beehivesports.com/page/About | https://www.beehivesports.com/page/staffbio | https://www.beehivesports.com/page/Contact | https://www.beehivesports.com/page/Staff
UT-0007,UT-0007-A,Burton Basketball Academy,2738 N Rulon White Blvd,Pleasant View,84404,UT,https://www.burtonbasketballacademy.com/,burtonbasketballacademy.com,Indoor,Confirmed Indoor,No,1,https://www.burtonbasketballacademy.com/ | https://www.burtonbasketballacademy.com/about | https://www.burtonbasketballacademy.com/contact
UT-0008,UT-0008-A,Canyons Facility Rentals,,,,UT,https://rentals.canyonsdistrict.org/home,canyonsdistrict.org,Indoor,Confirmed Indoor,No,1,https://rentals.canyonsdistrict.org/home | https://rentals.canyonsdistrict.org/page/rentalguidelines
UT-0009,UT-0009-A,Club GSL,,South Jordan,,UT,https://clubgsl.com/,clubgsl.com,Indoor,Confirmed Indoor,No,1,https://clubgsl.com/ | https://clubgsl.com/club/saltlakeboysprogramming | https://clubgsl.com/club/51336 | https://clubgsl.com/club/saltlakestaff | https://clubgsl.com/club/55679 | https://clubgsl.com/club/aboutus | https://clubgsl.com/club/contactus
UT-0010,UT-0010-A,Club V,,North Salt Lake,,UT,https://clubvsports.com/,clubvsports.com,Indoor,Confirmed Indoor,No,1,https://clubvsports.com/ | https://clubvsports.com/club/leadership | https://clubvsports.com/club/facilities | https://clubvsports.com/club/courtreservation | https://clubvsports.com/all-programs/category/1007 | https://clubvsports.com/program-details/19460 | https://clubvsports.com/program-details/19491
UT-0011,UT-0011-A,Club Volleyball,,Park City,,UT,https://www.clubelevatevolleyball.com/,clubelevatevolleyball.com,Indoor,Confirmed Indoor,No,1,https://www.clubelevatevolleyball.com/ | https://www.clubelevatevolleyball.com/about | https://www.clubelevatevolleyball.com/contact
UT-0012,UT-0012-A,Comflors,,Kaysville,,UT,https://www.comflors.com/,comflors.com,Indoor,Confirmed Indoor,No,1,https://www.comflors.com/ | https://www.comflors.com/about-us/ | https://www.comflors.com/contact-us/
UT-0013,UT-0013-A,Community Development Finance Alliance,,Moab,,UT,https://cdfautah.org/,cdfautah.org,Indoor,Confirmed Indoor,No,1,https://cdfautah.org/
UT-0014,UT-0014-A,Construction Management Pros,,Sandy,,UT,https://www.thecmpros.com/,thecmpros.com,Indoor,Confirmed Indoor,No,1,https://www.thecmpros.com/ | https://www.thecmpros.com/about/ | https://www.thecmpros.com/meet-our-team/
UT-0015,UT-0015-A,Court Builder in Utah,,Riverton,,UT,https://www.acecourtsutah.com/,acecourtsutah.com,Indoor,Confirmed Indoor,No,1,https://www.acecourtsutah.com/ | https://www.acecourtsutah.com/court-designer | https://www.acecourtsutah.com/about-us | https://www.acecourtsutah.com/services/full-court-builds | https://www.acecourtsutah.com/services/court-lighting-hoops-nets | https://www.acecourtsutah.com/services/court-resurfacing | https://www.acecourtsutah.com/contact
UT-0016,UT-0016-A,CROSSROADS ACADEMY,195 25th Street,Ogden,84401,UT,https://www.crossroadsrtc.com/,crossroadsrtc.com,Indoor,Confirmed Indoor,No,1,https://www.crossroadsrtc.com/ | https://www.crossroadsrtc.com/programs/ | https://www.crossroadsrtc.com/programs/teen-inpatient-residential-treatment/ | https://www.crossroadsrtc.com/programs/teen-therapeutic-boarding-academy/ | https://www.crossroadsrtc.com/staff/ | https://www.crossroadsrtc.com/contact/
UT-0017,UT-0017-A,Davis County Utah,,Layton,,UT,https://daviscountyutah.com/,daviscountyutah.com,Indoor,Confirmed Indoor,No,1,https://daviscountyutah.com/ | https://daviscountyutah.com/centerville/recreation/recreation-programs/ | https://daviscountyutah.com/farmington/recreation/programs-classes/ | https://daviscountyutah.com/kaysville/recreation/programs-classes/ | https://daviscountyutah.com/layton/recreation/programs-classes/ | https://daviscountyutah.com/layton/schools/leadership-learning-academy/ | https://daviscountyutah.com/business/directory/
UT-0018,UT-0018-A,Davis School District Facility Rentals,45 E State St,Farmington,84025,UT,https://davis.schoolspace.us/home,davis.schoolspace.us,Indoor,Confirmed Indoor,No,1,https://davis.schoolspace.us/home
UT-0019,UT-0019-A,Desert Color Resort,,George,,UT,https://www.desertcolorresort.com/,desertcolorresort.com,Indoor,Confirmed Indoor,No,1,https://www.desertcolorresort.com/ | https://www.desertcolorresort.com/rentals | https://www.desertcolorresort.com/large-group-rentals | https://www.desertcolorresort.com/pickleball-courts | https://www.desertcolorresort.com/resort-rental-items | https://www.desertcolorresort.com/contact-us | https://www.desertcolorresort.com/lagoon-front
UT-0020,UT-0020-A,"Elite Private Soccer Training in St. George, Utah",,George,,UT,https://stgsoccerskills.com/,stgsoccerskills.com,Indoor,Confirmed Indoor,No,1,https://stgsoccerskills.com/ | https://stgsoccerskills.com/stg-soccer-memberships/ | https://stgsoccerskills.com/birthday-party-rentals-in-st-george-utah-st-georges-premier-indoor-party-venue/
UT-0021,UT-0021-A,EvoGov Demo Website,,Monticello,,UT,https://www.monticelloutah.org/,monticelloutah.org,Indoor,Confirmed Indoor,No,1,https://www.monticelloutah.org/ | https://www.monticelloutah.org/departments/justicecourt | https://www.monticelloutah.org/departments/Administration
