Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
VA-0001,VA-0001-A,A Plus Tennis,6001 Burke Commons Rd,Burke,22015,VA,https://aplustennisva.net/,aplustennisva.net,Indoor,Confirmed Indoor,Yes,3,https://aplustennisva.net/ | https://aplustennisva.net/about/ | https://aplustennisva.net/contact/ | https://aplustennisva.net/register-challenger-tournament/ | https://aplustennisva.net/register-invitational/
VA-0001,VA-0001-B,A Plus Tennis,9330 Pentland Pl,Fairfax,22031,VA,https://aplustennisva.net/,aplustennisva.net,Indoor,Confirmed Indoor,Yes,3,https://aplustennisva.net/ | https://aplustennisva.net/about/ | https://aplustennisva.net/contact/ | https://aplustennisva.net/register-challenger-tournament/ | https://aplustennisva.net/register-invitational/
VA-0001,VA-0001-C,A Plus Tennis,5035 Sideburn Rd,Fairfax,22032,VA,https://aplustennisva.net/,aplustennisva.net,Indoor,Confirmed Indoor,Yes,3,https://aplustennisva.net/ | https://aplustennisva.net/about/ | https://aplustennisva.net/contact/ | https://aplustennisva.net/register-challenger-tournament/ | https://aplustennisva.net/register-invitational/
VA-0002,VA-0002-A,"A Private Boys' School in Richmond, VA",,Richmond,,VA,https://www.stchristophers.com/,stchristophers.com,Indoor,Confirmed Indoor,No,1,https://www.stchristophers.com/ | https://www.stchristophers.com/about/about-st-christophers | https://www.stchristophers.com/about/about-st-christophers/history | https://www.stchristophers.com/about/about-st-christophers/at-a-glance | https://www.stchristophers.com/about/community-pillars | https://www.stchristophers.com/about/portrait-of-a-saint
VA-0003,VA-0003-A,Alan,,Luray,,VA,https://alansfactoryoutlet.com/,alansfactoryoutlet.com,Indoor,Confirmed Indoor,No,1,https://alansfactoryoutlet.com/ | https://alansfactoryoutlet.com/about-us/ | https://alansfactoryoutlet.com/contact-us/ | https://alansfactoryoutlet.com/metal-barn-lean-to-building/
VA-0004,VA-0004-A,Arlington Soccer Association,140 S. Wise St.,Arlington,22204,VA,https://www.arlingtonsoccer.com/,arlingtonsoccer.com,Indoor,Confirmed Indoor,No,1,https://www.arlingtonsoccer.com/ | https://www.arlingtonsoccer.com/about | https://www.arlingtonsoccer.com/committees | https://www.arlingtonsoccer.com/new-front-office-staff | https://www.arlingtonsoccer.com/travelcoachingstaff | https://www.arlingtonsoccer.com/academycoachingstaff | https://www.arlingtonsoccer.com/usl-coaching-staff
VA-0005,VA-0005-A,Basketball Training Programs,,Winchester,,VA,https://www.uniquehoops.com/,uniquehoops.com,Indoor,Confirmed Indoor,No,1,https://www.uniquehoops.com/ | https://www.uniquehoops.com/about-us | https://www.uniquehoops.com/contact | https://www.uniquehoops.com/facility
VA-0006,VA-0006-A,Boys & Girls Clubs of the Virginia Peninsula,,Newport News,,VA,https://www.bagclub.com/,bagclub.com,Indoor,Confirmed Indoor,No,1,https://www.bagclub.com/ | https://www.bagclub.com/about-us/ | https://www.bagclub.com/about-us/staff/ | https://www.bagclub.com/about-us/board-of-directors/ | https://www.bagclub.com/about-us/partners-sponsors/ | https://www.bagclub.com/about-us/transparency-accountability/ | https://www.bagclub.com/about-us/job-openings/
VA-0007,VA-0007-A,Brazilian United,43664 Tall Cedars Pkwy,Chantilly,20152,VA,https://programs.brazilianunited.com/,brazilianunited.com,Indoor,Confirmed Indoor,No,1,https://programs.brazilianunited.com/ | https://programs.brazilianunited.com/buc/winter-programs | https://programs.brazilianunited.com/buc/spring-clinics | https://programs.brazilianunited.com/buc/buc-summer-camp/city-of-evanston?id=IL111 | https://programs.brazilianunited.com/buc/fall-clinics
VA-0008,VA-0008-A,Built to Serve,3920 University Drive,Fairfax,22030,VA,https://www.teelconstruction.com/,teelconstruction.com,Indoor,Confirmed Indoor,No,1,https://www.teelconstruction.com/ | https://www.teelconstruction.com/who-we-are-final/ | https://www.teelconstruction.com/contact-us-2/
VA-0009,VA-0009-A,Burke Racquet & Swim Club,,Burke,,VA,https://burkeracquet.com/,burkeracquet.com,Indoor,Confirmed Indoor,No,1,https://burkeracquet.com/ | https://burkeracquet.com/aquatics-lessons-programs/ | https://burkeracquet.com/tennis-membership/ | https://burkeracquet.com/membership/ | https://burkeracquet.com/about/ | https://burkeracquet.com/contact/
VA-0010,VA-0010-A,CENTRAL VIRGINIA PICKLEBALL,,Charlottesville,,VA,https://www.centralvirginiapickleball.org/,centralvirginiapickleball.org,Indoor,Confirmed Indoor,No,1,https://www.centralvirginiapickleball.org/ | https://www.centralvirginiapickleball.org/darden-towe-courts-project.html | https://www.centralvirginiapickleball.org/about.html
VA-0011,VA-0011-A,"Chantilly Youth Association, Inc",14810 Murdock Street,Chantilly,20151,VA,https://chantillyyouth.org/,chantillyyouth.org,Indoor,Confirmed Indoor,No,1,https://chantillyyouth.org/ | https://chantillyyouth.org/cya-contact-s | https://chantillyyouth.org/contact-2 | https://chantillyyouth.org/play-it-safe | https://chantillyyouth.ottosport.ai/cya-contact-s
VA-0012,VA-0012-A,Chatmoss Country Club,,Martinsville,,VA,https://chatmosscc.org/,chatmosscc.org,Indoor,Confirmed Indoor,No,1,https://chatmosscc.org/ | https://chatmosscc.org/Become_a_Member/Inquire_About_Membership
VA-0013,VA-0013-A,Chesterfield Fits,,North Chesterfield,,VA,https://chesterfieldfits.com/,chesterfield.gov,Indoor,Confirmed Indoor,No,1,https://chesterfieldfits.com/ | https://chesterfieldfits.com/about-ced/contact-chesterfield-economic-development/ | https://chesterfieldfits.com/business-support/incentive-programs/ | https://chesterfieldfits.com/business-support/technology-zone-program/ | https://chesterfieldfits.com/about-ced/ | https://chesterfieldfits.com/about-ced/chesterfield-economic-development-authority/
VA-0014,VA-0014-A,Christendom College,134 Christendom Drive,Front Royal,22630,VA,https://www.christendom.edu/,christendom.edu,Indoor,Confirmed Indoor,No,1,https://www.christendom.edu/ | https://www.christendom.edu/about/privacy-policy/ | https://www.christendom.edu/about/ | https://www.christendom.edu/about/who-we-are/ | https://www.christendom.edu/about/contact/ | https://www.christendom.edu/about/radio/ | https://www.christendom.edu/about/job-postings/
VA-0015,VA-0015-A,Colonies Swim and Tennis Club,2801 Causeway Dr,Richmond,23233,VA,https://www.coloniesswimtennis.com/,coloniesswimtennis.com,Indoor,Confirmed Indoor,No,1,https://www.coloniesswimtennis.com/ | https://www.coloniesswimtennis.com/gazebo-rental/ | https://www.coloniesswimtennis.com/clubhouse-rentals/ | https://www.coloniesswimtennis.com/membership/ | https://www.coloniesswimtennis.com/membership/manage-account/ | https://www.coloniesswimtennis.com/membership/join/ | https://www.coloniesswimtennis.com/contact/
VA-0016,VA-0016-A,Cool Spring Baptist Church,9283 Atlee Station Rd,Mechanicsville,,VA,https://coolspring.org/,coolspring.org,Indoor,Confirmed Indoor,No,1,https://coolspring.org/ | https://coolspring.org/about-us/what-we-believe/ | https://coolspring.org/about-us/meet-our-team/ | https://coolspring.org/about-us/contact-us/
