Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
WA-0001,WA-0001-A,4th Avenue Beach,,Seattle,,WA,https://www.4thavebeach.com/,4thavebeach.com,Indoor,Confirmed Indoor,No,1,https://www.4thavebeach.com/ | https://www.4thavebeach.com/membership/ | https://www.4thavebeach.com/wp-content/uploads/2025/06/vball-courts.webp | https://www.4thavebeach.com/about/ | https://www.4thavebeach.com/contact/
WA-0002,WA-0002-A,Armory Pickleball,,Ellensburg,,WA,https://www.armorypickleball.net/,armorypickleball.net,Indoor,Confirmed Indoor,No,1,https://www.armorypickleball.net/ | https://www.armorypickleball.net/membership | https://www.armorypickleball.net/about-us | https://www.armorypickleball.net/contact
WA-0003,WA-0003-A,Auburn FieldhouseUSA,,Auburn,,WA,https://auburn.fieldhouseusa.com/,auburn.fieldhouseusa.com,Indoor,Confirmed Indoor,No,1,https://auburn.fieldhouseusa.com/ | https://auburn.fieldhouseusa.com/sports/ | https://auburn.fieldhouseusa.com/contact/ | https://auburn.fieldhouseusa.com/about/ | https://auburn.fieldhouseusa.com/join/
WA-0004,WA-0004-A,BadmintonClubs,,Liberty Lake,,WA,https://badmintonclubs.org/,badmintonclubs.org,Indoor,Confirmed Indoor,No,1,https://badmintonclubs.org/ | https://badmintonclubs.org/about | https://badmintonclubs.org/contact
WA-0005,WA-0005-A,bainbridge island pickleball,,Bainbridge Island,,WA,https://www.bainbridge-pickleball.org/,bainbridge-pickleball.org,Indoor,Confirmed Indoor,No,1,https://www.bainbridge-pickleball.org/ | https://www.bainbridge-pickleball.org/our-courts | https://www.bainbridge-pickleball.org/membership | https://www.bainbridge-pickleball.org/contact | https://www.bainbridge-pickleball.org/our-vision
WA-0006,WA-0006-A,Bainbridge Island Resource Directory,,Bainbridge Island,,WA,https://resourcedirectorybi.org/,resourcedirectorybi.org,Indoor,Confirmed Indoor,No,1,https://resourcedirectorybi.org/ | https://resourcedirectorybi.org/contact/
WA-0007,WA-0007-A,Basha Tennis,,Seattle,,WA,https://bashatennis.com/,bashatennis.com,Indoor,Confirmed Indoor,No,1,https://bashatennis.com/
WA-0008,WA-0008-A,BC Soccer Training,,Seattle,,WA,https://bcsoccertraining.com/,bcsoccertraining.com,Indoor,Confirmed Indoor,No,1,https://bcsoccertraining.com/ | https://bcsoccertraining.com/contact | https://bcsoccertraining.com/what-we-do
WA-0009,WA-0009-A,Bellevue Badminton Club,9 AM - 10 PM 3616 South Road,Mukilteo,98275,WA,https://www.bellevuebadminton.com/,bellevuebadminton.com,Indoor,Confirmed Indoor,No,1,https://www.bellevuebadminton.com/ | https://www.bellevuebadminton.com/reserve-a-court | https://www.bellevuebadminton.com/memberships | https://www.bellevuebadminton.com/training/junior-programs | https://www.bellevuebadminton.com/equipment-rental-2 | https://www.bellevuebadminton.com/about-us
WA-0010,WA-0010-A,Bellevue Club,9 PM 11200 Southeast Sixth Street,Bellevue,98004,WA,https://www.bellevueclub.com/,bellevueclub.com,Indoor,Confirmed Indoor,No,1,https://www.bellevueclub.com/ | https://www.bellevueclub.com/join/ | https://www.bellevueclub.com/contact-us/
